excel_row,route_name,input,found,type,description,lat,lon,error
21,"Мичуринск, Тамбовская обл.","398513, Липецкая область, Липецкий район, село Частая Дубрава, Молодежная улица, 5","Молодёжная улица, 5",building,🏠 Здание — высокая точность,52.546865,39.270453,
22,"Мичуринск, Тамбовская обл.","Молодёжная улица, 5  ​с. Частая Дубрава, Липецкий район, Липецкая область ​398513","Молодёжная улица, 5",building,🏠 Здание — высокая точность,52.546865,39.270453,
23,"Мичуринск, Тамбовская обл.","398540, Липецкая область, Липецкий район, село Сенцово, улица Гагарина, 1А","улица Гагарина, 1а",building,🏠 Здание — высокая точность,52.624184,39.363384,
24,"Мичуринск, Тамбовская обл.","398902, Липецкая область, город Липецк, Ангарская улица, 24","Ангарская, 24",building,🏠 Здание — высокая точность,52.593441,39.458911,
25,"Мичуринск, Тамбовская обл.","399140, Липецкая область, Добровский район, село Доброе, улица Желябова, 1","улица Желябова, 1",building,🏠 Здание — высокая точность,52.857339,39.824049,
26,"Мичуринск, Тамбовская обл.","393760, Тамбовская область, город Мичуринск, Гоголевская улица, 148","Гоголевская улица, 148",building,🏠 Здание — высокая точность,52.888309,40.500931,
27,"Мичуринск, Тамбовская обл.","393763, Тамбовская область, город Мичуринск, Автозаводская улица, 2а","Автозаводская улица, 2а",building,🏠 Здание — высокая точность,52.909969,40.452699,
28,"Мичуринск, Тамбовская обл.","393760, Тамбовская область, город Мичуринск, Гоголевская улица, 148","Гоголевская улица, 148",building,🏠 Здание — высокая точность,52.888309,40.500931,
29,"Мичуринск, Тамбовская обл.","393002, Тамбовская область, Никифоровский район, рабочий поселок Дмитриевка, улица М.Горького, 69А","улица Максима Горького, 69а",building,🏠 Здание — высокая точность,52.894918,40.785988,
30,"Мичуринск, Тамбовская обл.","393088, Тамбовская область, Петровский район, деревня Чибизовка, Центральная улица, 1","Центральная улица, 1",building,🏠 Здание — высокая точность,52.670043,40.395602,
31,"Мичуринск, Тамбовская обл.","399331, Липецкая область, Усманский район, село Октябрьское, проспект Революции, 81А","проспект Революции, 81а",building,🏠 Здание — высокая точность,52.303847,39.720069,
32,"Мичуринск, Тамбовская обл.","399370, Липецкая область, Усманский район, город Усмань, Советская улица, 15","Советская улица, 15",building,🏠 Здание — высокая точность,52.043402,39.739253,
33,"Мичуринск, Тамбовская обл.","399370, Липецкая область, Усманский район, город Усмань, улица К.Маркса, 21","улица Карла Маркса, 21",building,🏠 Здание — высокая точность,52.041478,39.73422,
34,"Мичуринск, Тамбовская обл.","399370, Липецкая область, Усманский район, город Усмань, улица К.Маркса, 21","улица Карла Маркса, 21",building,🏠 Здание — высокая точность,52.041478,39.73422,
