excel_row,route_name,input,found,type,description,lat,lon,error
212,"Борисоглебский район, Воронежская обл.","Воронежская область, Грибановский поселок городского типа, Советская улица, 165б","Советская улица, 165Б",exact,"<span class=""accuracy-tag tag-exact"">🏠 Здание — высокая точность</span>",51.458381,41.974045,
214,"Борисоглебский район, Воронежская обл.","397240, Воронежская область, Грибановский район, поселок городского типа Грибановский, Советская улица, 212","Советская улица, 212",exact,"<span class=""accuracy-tag tag-exact"">🏠 Здание — высокая точность</span>",51.458388,41.972364,
215,"Борисоглебский район, Воронежская обл.","397163, Воронежская область, Борисоглебский район, город Борисоглебск, улица Чкалова, 86","улица Чкалова, 86",exact,"<span class=""accuracy-tag tag-exact"">🏠 Здание — высокая точность</span>",51.379357,42.100582,
216,"Борисоглебский район, Воронежская обл.","Воронежская область, Борисоглебский район, город Борисоглебск, улица Первомайская, 119А","Первомайская улица, 119а",exact,"<span class=""accuracy-tag tag-exact"">🏠 Здание — высокая точность</span>",51.363904,42.141727,
218,"Борисоглебский район, Воронежская обл.","Воронежская область, Борисоглебский район, город Борисоглебск, улица Матросовская, 97-98","Матросовская улица, 97",exact,"<span class=""accuracy-tag tag-exact"">🏠 Здание — высокая точность</span>",51.377468,42.100652,
220,"Борисоглебский район, Воронежская обл.","Воронежская область, Борисоглебский район, город Борисоглебск, улица Матросовская, 121","Матросовская улица, 121",exact,"<span class=""accuracy-tag tag-exact"">🏠 Здание — высокая точность</span>",51.37662,42.121976,
221,"Борисоглебский район, Воронежская обл.","Воронежская область, Борисоглебский район, город Борисоглебск, улица Матросовская, 129","Матросовская улица, 129",exact,"<span class=""accuracy-tag tag-exact"">🏠 Здание — высокая точность</span>",51.380465,42.128872,
223,"Борисоглебский район, Воронежская обл.","397165, Воронежская область, Борисоглебский район, город Борисоглебск, улица Матросовская, 156","Матросовская улица, 156",exact,"<span class=""accuracy-tag tag-exact"">🏠 Здание — высокая точность</span>",51.379818,42.136138,
224,"Борисоглебский район, Воронежская обл.","Воронежская область, Борисоглебский район, город Борисоглебск, улица Матросовская, 158","Матросовская улица, 158",exact,"<span class=""accuracy-tag tag-exact"">🏠 Здание — высокая точность</span>",51.375358,42.138152,
225,"Борисоглебский район, Воронежская обл.","397310, Воронежская область, Поворинский район, село Байчурово, Советский переулок, 1","Советский переулок, 1",exact,"<span class=""accuracy-tag tag-exact"">🏠 Здание — высокая точность</span>",51.343654,42.680332,
226,"Борисоглебский район, Воронежская обл.","412304, Саратовская область, город Балашов, Саратовское шоссе, 13",Саратовское шоссе,street,"<span class=""accuracy-tag tag-street"">🛣️ Улица — средняя точность</span>",51.533173,43.236536,
227,"Борисоглебский район, Воронежская обл.","412304, Саратовская область, город Балашов, Саратовское шоссе, 14","Саратовское шоссе, 14",exact,"<span class=""accuracy-tag tag-exact"">🏠 Здание — высокая точность</span>",51.552622,43.223517,
228,"Борисоглебский район, Воронежская обл.","412315, Саратовская область, город Балашов, улица Ленина, 45","улица Ленина, 45",exact,"<span class=""accuracy-tag tag-exact"">🏠 Здание — высокая точность</span>",51.542898,43.144838,
229,"Борисоглебский район, Воронежская обл.","412309, Саратовская область, город Балашов, улица 30 лет Победы, 174","улица 30 Лет Победы, 174",exact,"<span class=""accuracy-tag tag-exact"">🏠 Здание — высокая точность</span>",51.547786,43.14916,
230,"Борисоглебский район, Воронежская обл.","412309, Саратовская область, город Балашов, улица 30 лет Победы, 170а","улица 30 Лет Победы, 170а",exact,"<span class=""accuracy-tag tag-exact"">🏠 Здание — высокая точность</span>",51.548765,43.150217,
231,"Борисоглебский район, Воронежская обл.","412309, Саратовская область, город Балашов, улица Карла Маркса, 36","улица Карла Маркса, 36",exact,"<span class=""accuracy-tag tag-exact"">🏠 Здание — высокая точность</span>",51.546431,43.147917,
232,"Борисоглебский район, Воронежская обл.","410000, Саратовская область, город Балашов, улица 50 лет ВЛКСМ, 2","улица 50 лет ВЛКСМ, 2",exact,"<span class=""accuracy-tag tag-exact"">🏠 Здание — высокая точность</span>",51.553646,43.216845,
233,"Борисоглебский район, Воронежская обл.","412304, Саратовская область, город Балашов, улица Орджоникидзе, 86","улица Орджоникидзе, 86 / Камышинская улица, 100",exact,"<span class=""accuracy-tag tag-exact"">🏠 Здание — высокая точность</span>",51.545687,43.18402,
235,"Борисоглебский район, Воронежская обл.","410000, Саратовская область, город Балашов, улица Привокзальная, 17","Привокзальная улица, 17",exact,"<span class=""accuracy-tag tag-exact"">🏠 Здание — высокая точность</span>",51.531499,43.149755,
236,"Борисоглебский район, Воронежская обл.","412308, Саратовская область, город Балашов, улица 9 Января, 121","улица 9 Января, 121",exact,"<span class=""accuracy-tag tag-exact"">🏠 Здание — высокая точность</span>",51.555323,43.174513,
237,"Борисоглебский район, Воронежская обл.","397220, Воронежская область, Грибановский район, село Верхний Карачан, Набережная улица, 2","Набережная улица, 2",exact,"<span class=""accuracy-tag tag-exact"">🏠 Здание — высокая точность</span>",51.404252,41.772453,
