excel_row,route_name,input,found,type,description,lat,lon,error
126,"Волгоград, Волгоградская обл.","Волгоградская область, село Ольшанка, улица Комарова, 69А","улица Комарова, 69а",exact,"<span class=""accuracy-tag tag-exact"">🏠 Здание — высокая точность</span>",50.821584,42.044021,
127,"Волгоград, Волгоградская обл.","Волгоградская область, Урюпинск, Гора Восточная, 93","микрорайон Восточная Гора, 93",exact,"<span class=""accuracy-tag tag-exact"">🏠 Здание — высокая точность</span>",50.807618,42.042324,
128,"Волгоград, Волгоградская обл.","Волгоградская область, город Урюпинск, микрорайон Гора Восточная, 93","микрорайон Восточная Гора, 93",exact,"<span class=""accuracy-tag tag-exact"">🏠 Здание — высокая точность</span>",50.807618,42.042324,
129,"Волгоград, Волгоградская обл.","Волгоградская область, Урюпинск, Луговой переулок, 2/4","Луговой переулок, 2",exact,"<span class=""accuracy-tag tag-exact"">🏠 Здание — высокая точность</span>",50.815958,42.01922,
130,"Волгоград, Волгоградская обл.","403113, Волгоградская область, город Урюпинск, улица Штеменко, 47/1","улица Штеменко, 47/1",exact,"<span class=""accuracy-tag tag-exact"">🏠 Здание — высокая точность</span>",50.812211,42.013406,
132,"Волгоград, Волгоградская обл.","Волгоградская область, Урюпинский район, хутор Дубовский, улица Совхоз им.8 Марта, 9",улица 8 Марта,street,"<span class=""accuracy-tag tag-street"">🛣️ Улица — средняя точность</span>",50.530226,41.995595,
134,"Волгоград, Волгоградская обл.","397350, Воронежская область, Поворинский район, город Поворино, улица Пионерская, 49","улица Пионерская, 49",exact,"<span class=""accuracy-tag tag-exact"">🏠 Здание — высокая точность</span>",51.205403,42.237869,
135,"Волгоград, Волгоградская обл.","397401, Воронежская область, Новохоперский район, город Новохоперск, улица Плотникова, 4Б","улица Плотникова, 4",exact,"<span class=""accuracy-tag tag-exact"">🏠 Здание — высокая точность</span>",51.097004,41.609341,
136,"Волгоград, Волгоградская обл.","397420, Воронежская область, Новохоперский район, село Елань-Колено, улица Красный Октябрь, 15А","Красный Октябрь посёлок, 15а",exact,"<span class=""accuracy-tag tag-exact"">🏠 Здание — высокая точность</span>",51.149447,41.228793,
137,"Волгоград, Волгоградская обл.","397420, Воронежская область, Новохоперский район, село Елань-Колено, улица Нагорная, 101а","Нагорная улица, 101а",exact,"<span class=""accuracy-tag tag-exact"">🏠 Здание — высокая точность</span>",51.164773,41.228307,
138,"Волгоград, Волгоградская обл.","397431, Воронежская область, Новохоперский район, рабочий поселок Елань-Коленовский, улица Ленина, 11","улица Ленина, 11",exact,"<span class=""accuracy-tag tag-exact"">🏠 Здание — высокая точность</span>",51.172787,41.148168,
