excel_row,route_name,input,found,type,description,lat,lon,error
112,"Воронеж, Воронежская обл.","Воронежская область, город Воронеж, Газовая улица, 28",Газовая,street,"<span class=""accuracy-tag tag-street"">🛣️ Улица — средняя точность</span>",51.674401,39.138264,
113,"Воронеж, Воронежская обл.","394016, Воронежская область, город Воронеж, улица 45 стрелковой дивизии, 234",45 Стрелковой Дивизии,street,"<span class=""accuracy-tag tag-street"">🛣️ Улица — средняя точность</span>",51.692872,39.130697,
114,"Воронеж, Воронежская обл.","394016, Воронежская область, город Воронеж, Беговая улица, 205","Беговая, 205",exact,"<span class=""accuracy-tag tag-exact"">🏠 Здание — высокая точность</span>",51.696019,39.147052,
116,"Воронеж, Воронежская обл.","394026, Воронежская область, город Воронеж, улица Антонова-Овсеенко, 22, 14","улица Антонова-Овсеенко, 22",exact,"<span class=""accuracy-tag tag-exact"">🏠 Здание — высокая точность</span>",51.703345,39.133446,
117,"Воронеж, Воронежская обл.","Воронежская область, город Воронеж, улица Антонова-Овсеенко, 22А","улица Антонова-Овсеенко, 22а",exact,"<span class=""accuracy-tag tag-exact"">🏠 Здание — высокая точность</span>",51.703714,39.134877,
118,"Воронеж, Воронежская обл.","Воронежская область, город Воронеж, улица Антонова-Овсеенко, 22А","улица Антонова-Овсеенко, 22а",exact,"<span class=""accuracy-tag tag-exact"">🏠 Здание — высокая точность</span>",51.703714,39.134877,
120,"Воронеж, Воронежская обл.","394088, Воронежская область, город Воронеж, улица Хользунова, 122","АРЛАН, бизнес-центр",exact,"<span class=""accuracy-tag tag-exact"">🏠 Здание — высокая точность</span>",51.703652,39.13665,
121,"Воронеж, Воронежская обл.","394016, Воронежская область, город Воронеж, улица Лизюкова, 99","Генерала Лизюкова, 99",exact,"<span class=""accuracy-tag tag-exact"">🏠 Здание — высокая точность</span>",51.707206,39.139523,
122,"Воронеж, Воронежская обл.","394075, Воронежская область, город Воронеж, улица Академика Королева, 4е",Академика Королёва,street,"<span class=""accuracy-tag tag-street"">🛣️ Улица — средняя точность</span>",51.739076,39.162142,
123,"Воронеж, Воронежская обл.","394088, Воронежская область, город Воронеж, улица Владимира Невского, 7","Владимира Невского, 7",exact,"<span class=""accuracy-tag tag-exact"">🏠 Здание — высокая точность</span>",51.703961,39.147516,
