excel_row,route_name,input,found,type,description,lat,lon,error
303,Воронеж 3,"394091, Воронежская область, город Воронеж, Осенняя улица, 8А","Осенняя, 8а",building,🏠 Здание — высокая точность,51.652782,39.095065,
304,Воронеж 3,"Воронежская область, город Воронеж, проспект Патриотов, 43Г","проспект Патриотов, 43г",building,🏠 Здание — высокая точность,51.646122,39.122431,
305,Воронеж 3,"394051, Воронежская область, город Воронеж, улица Героев Сибиряков, 23, IV","улица Героев Сибиряков, 23",building,🏠 Здание — высокая точность,51.650911,39.137835,
306,Воронеж 3,"394038, Воронежская область, город Воронеж, улица Домостроителей, 1","Домостроителей, 1",building,🏠 Здание — высокая точность,51.657332,39.145675,
307,Воронеж 3,"394038, Воронежская область, город Воронеж, улица Дорожная, 15","Дорожная, 15",building,🏠 Здание — высокая точность,51.664066,39.140067,
308,Воронеж 3,"394062, Воронежская область, город Воронеж, улица Героев Сибиряков, 12а","улица Героев Сибиряков, 12а",building,🏠 Здание — высокая точность,51.659993,39.130897,
309,Воронеж 3,"394088, Воронежская область, город Воронеж, улица Хользунова, 122","АРЛАН, бизнес-центр",building,🏠 Здание — высокая точность,51.703652,39.13665,
310,Воронеж 3,"394088, Воронежская область, город Воронеж, улица Владимира Невского, 1А/1","Владимира Невского, 1а",building,🏠 Здание — высокая точность,51.702583,39.147101,
311,Воронеж 3,"Воронежская область, город Воронеж, улица Владимира Невского, 1А/2","Владимира Невского, 1а/2",building,🏠 Здание — высокая точность,51.702503,39.148551,
312,Воронеж 3,"394065, Воронежская область, город Воронеж, улица Солнечная, 10/6","Солнечная улица, 10/6",building,🏠 Здание — высокая точность,51.685546,39.166462,
313,Воронеж 3,"394026, Воронежская область, город Воронеж, улица Солнечная, 10б","Солнечная улица, 10Б",building,🏠 Здание — высокая точность,51.686883,39.165833,
314,Воронеж 3,"394026, Воронежская область, город Воронеж, проспект Труда, 48","проспект Труда, 48",building,🏠 Здание — высокая точность,51.67705,39.170741,
315,Воронеж 3,"394026, Воронежская область, город Воронеж, проспект Труда, 48Г","проспект Труда, 48г",building,🏠 Здание — высокая точность,51.680437,39.176798,
316,Воронеж 3,"394045, Воронежская область, город Воронеж, улица Урицкого, 34","Урицкого, 34",building,🏠 Здание — высокая точность,51.682706,39.207517,
