excel_row,route_name,input,found,type,description,lat,lon,error
59,"Курск, Курская обл.","305022, Курская область, город Курск, 1-я Агрегатная улица, 8А","Агрегатная 1-я, 8а",building,🏠 Здание — высокая точность,51.736174,36.282957,
60,"Курск, Курская обл.","305023, Курская область, город Курск, Литовская улица, 2-Е","Литовская улица, 2е",building,🏠 Здание — высокая точность,51.708962,36.18247,
62,"Курск, Курская обл.","305040, Курская область, город Курск, Запольная улица, 60А","Запольная, 60а",building,🏠 Здание — высокая точность,51.74114,36.149161,
63,"Курск, Курская обл.","305014, Курская область, город Курск, Кирпичная улица, 27","Кирпичная, 27",building,🏠 Здание — высокая точность,51.800719,36.167285,
64,"Курск, Курская обл.","Курская область, город Курск, улица Энгельса, 109А пав.2","улица Энгельса, 109а",building,🏠 Здание — высокая точность,51.703041,36.161802,
65,"Курск, Курская обл.","Курская область, город Курск, улица Энгельса, 109А пав.10","улица Энгельса, 109а",building,🏠 Здание — высокая точность,51.703041,36.161802,
66,"Курск, Курская обл.","305018, Курская область, город Курск, улица Энергетиков, 2",Энергетиков-2,street,📍 Улица — средняя точность,51.663594,36.134795,
67,"Курск, Курская обл.","Курская область, город Курск, улица Энергетиков, 2 Пав. 123",Энергетиков-2,street,📍 Улица — средняя точность,51.663594,36.134795,
68,"Курск, Курская обл.","Курская область, город Курск, улица Энергетиков, 2 павильон 120",Энергетиков-2,street,📍 Улица — средняя точность,51.663594,36.134795,
69,"Курск, Курская обл.","Курская область, город Курск, улица Энергетиков, 2 пав. 125",Энергетиков-2,street,📍 Улица — средняя точность,51.663594,36.134795,
70,"Курск, Курская обл.","305047, Курская область, город Курск, улица Энгельса, 171Б","улица Энгельса, 171Б",building,🏠 Здание — высокая точность,51.69506,36.153181,
71,"Курск, Курская обл.","305025, Курская область, город Курск, Магистральный проезд, 3","Магистральный проезд, 3",building,🏠 Здание — высокая точность,51.649181,36.137982,
72,"Курск, Курская обл.","305025, Курская область, город Курск, Магистральная улица, 1","Магистральная, 1",building,🏠 Здание — высокая точность,51.652565,36.129952,
73,"Курск, Курская обл.","307200, Курская область, Октябрьский район, деревня Маслова, Октябрьская улица, 266","Октябрьская, 266",building,🏠 Здание — высокая точность,51.657864,35.959101,
