excel_row,route_name,input,found,type,description,lat,lon,error
16,Курск 2,"306000, Курская область, Поныровский район, поселок городского типа Поныри, Октябрьская улица, 43","Октябрьская улица, 43",exact,"<span class=""accuracy-tag tag-exact"">🏠 Здание — высокая точность</span>",52.317442,36.305082,
17,Курск 2,"306000, Курская область, Поныровский район, поселок городского типа Поныри, улица Сапунова",улица Сапунова,street,"<span class=""accuracy-tag tag-street"">🛣️ Улица — средняя точность</span>",52.317357,36.308382,
18,Курск 2,"306046, Курская область, Золотухинский район, село Гремячка",Гремячка,locality,"<span class=""accuracy-tag tag-locality"">🏘️ Населенный пункт — средняя точность</span>",51.885475,36.516396,
20,Курск 2,"306020, Курская область, Золотухинский район, поселок городского типа Золотухино, Железнодорожная улица, 82А","Железнодорожная улица, 82а",exact,"<span class=""accuracy-tag tag-exact"">🏠 Здание — высокая точность</span>",52.07863,36.372511,
22,Курск 2,"306020, Курская область, Золотухинский район, поселок городского типа Золотухино, улица Кирова, 57","улица Кирова, 57",exact,"<span class=""accuracy-tag tag-exact"">🏠 Здание — высокая точность</span>",52.082926,36.375867,
23,Курск 2,"306050, Курская область, Золотухинский район, местечко Свобода, Веселая улица, 2а","Весёлая улица, 2а",exact,"<span class=""accuracy-tag tag-exact"">🏠 Здание — высокая точность</span>",51.972143,36.298797,
24,Курск 2,"305044, Курская область, город Курск, Станционная улица, 41","Станционная, 41",exact,"<span class=""accuracy-tag tag-exact"">🏠 Здание — высокая точность</span>",51.739943,36.230609,
27,Курск 2,"305044, Курская область, город Курск, Станционная улица, 31","Станционная, 31",exact,"<span class=""accuracy-tag tag-exact"">🏠 Здание — высокая точность</span>",51.746555,36.234032,
28,Курск 2,"305040, Курская область, город Курск, улица 50 лет Октября, 169а","улица 50 лет Октября, 169а",exact,"<span class=""accuracy-tag tag-exact"">🏠 Здание — высокая точность</span>",51.756788,36.137422,
29,Курск 2,"305040, Курская область, город Курск, улица 50 лет Октября, 169А","улица 50 лет Октября, 169а",exact,"<span class=""accuracy-tag tag-exact"">🏠 Здание — высокая точность</span>",51.756788,36.137422,
30,Курск 2,"305040, Курская область, город Курск, Орловская улица, 1","Орловская улица, 1",exact,"<span class=""accuracy-tag tag-exact"">🏠 Здание — высокая точность</span>",51.748356,36.136647,
33,Курск 2,"305023, Курская область, город Курск, 3-й Шоссейный переулок, 1А","3-й Шоссейный переулок, 1а",exact,"<span class=""accuracy-tag tag-exact"">🏠 Здание — высокая точность</span>",51.699517,36.161785,
34,Курск 2,"305524, Курская область, Курский район, сельское поселение Рышковский, улица Елисеева, 2","Елисеева, 2",exact,"<span class=""accuracy-tag tag-exact"">🏠 Здание — высокая точность</span>",51.652837,36.166036,
35,Курск 2,"307060, Курская область, Тимский район, село Выгорное 1-е, Магистральная улица, 6",улица Магистральная,street,"<span class=""accuracy-tag tag-street"">🛣️ Улица — средняя точность</span>",51.656081,37.126991,
