excel_row,route_name,input,found,type,description,lat,lon,error
127,Курчатов,"Курская область, город Курск, улица Энгельса, 109А пав.2","улица Энгельса, 109а",building,🏠 Здание — высокая точность,51.703041,36.161802,
128,Курчатов,"Курская область, город Курск, улица Энгельса, 109А пав.10","улица Энгельса, 109а",building,🏠 Здание — высокая точность,51.703041,36.161802,
129,Курчатов,"Курская область, город Курск, улица Энгельса, 109А пав. 12","улица Энгельса, 109а",building,🏠 Здание — высокая точность,51.703041,36.161802,
130,Курчатов,"305018, Курская область, город Курск, улица Энергетиков, 2",Энергетиков-2,street,📍 Улица — средняя точность,51.663594,36.134795,
131,Курчатов,"Курская область, город Курск, улица Энергетиков, 2",Энергетиков-2,street,📍 Улица — средняя точность,51.663594,36.134795,
132,Курчатов,"Курская область, город Курск, улица Энергетиков, 2 пав. 125",Энергетиков-2,street,📍 Улица — средняя точность,51.663594,36.134795,
133,Курчатов,"305025, Курская область, город Курск, Магистральный проезд, 1А","Магистральный проезд, 1а",building,🏠 Здание — высокая точность,51.649083,36.136697,
134,Курчатов,"305025, Курская область, город Курск, Магистральный проезд, 10а","Магистральный проезд, 10",building,🏠 Здание — высокая точность,51.650135,36.135262,
135,Курчатов,"305025, Курская область, город Курск, Магистральная улица, 1","Магистральная, 1",building,🏠 Здание — высокая точность,51.652565,36.129952,
137,Курчатов,"307214, Курская область, Октябрьский район, село Дьяконово, улица Победы, 75","улица Победы, 75",building,🏠 Здание — высокая точность,51.648746,35.897957,
138,Курчатов,"307200, Курская область, Октябрьский район, деревня Маслова, Октябрьская улица, 266","Октябрьская, 266",building,🏠 Здание — высокая точность,51.657864,35.959101,
139,Курчатов,"307251, Курская область, город Курчатов, улица Молодежная, 1В","Молодёжная улица, 1",building,🏠 Здание — высокая точность,51.660707,35.643755,
141,Курчатов,"307251, Курская область, город Курчатов, улица Молодежная, 3а","Молодёжная улица, 3а",building,🏠 Здание — высокая точность,51.660579,35.644483,
142,Курчатов,"307251, Курская область, город Курчатов, улица Молодежная, 3В","Молодёжная улица, 3в",building,🏠 Здание — высокая точность,51.660043,35.644137,
143,Курчатов,"307251, Курская область, город Курчатов, улица Молодежная, 1","Молодёжная улица, 1",building,🏠 Здание — высокая точность,51.660707,35.643755,
144,Курчатов,"307751, Курская область, город Льгов, улица Л.Толстого, 76а","улица Льва Толстого, 76",building,🏠 Здание — высокая точность,51.626388,35.266834,
145,Курчатов,"307751, Курская область, город Льгов, улица Л.Толстого, 76Д","улица Льва Толстого, 76",building,🏠 Здание — высокая точность,51.626388,35.266834,
146,Курчатов,"307750, Курская область, город Льгов, улица Комсомольская, 63","Комсомольская улица, 63",building,🏠 Здание — высокая точность,51.694986,35.282081,
