excel_row,route_name,input,found,type,description,lat,lon,error
188,"Липецк, Липецкая обл.","396039, Воронежская область, Рамонский район, деревня Галкино",Галкино,adm_div,adm_div,51.94433,39.219647,
189,"Липецк, Липецкая обл.","396031, Воронежская область, Рамонский район, поселок Комсомольский, Солнечная улица, 12/2А","Солнечная улица, 12/2а",building,🏠 Здание — высокая точность,51.984984,39.216231,
190,"Липецк, Липецкая обл.","398513, Липецкая область, Липецкий район, село Частая Дубрава, Молодежная улица, 5","Молодёжная улица, 5",building,🏠 Здание — высокая точность,52.546865,39.270453,
192,"Липецк, Липецкая обл.","398902, Липецкая область, город Липецк, Юношеская улица, 48","Юношеская, 48",building,🏠 Здание — высокая точность,52.586024,39.449155,
193,"Липецк, Липецкая обл.","398902, Липецкая область, город Липецк, Юношеская улица, 48","Юношеская, 48",building,🏠 Здание — высокая точность,52.586024,39.449155,
194,"Липецк, Липецкая обл.","398902, Липецкая область, город Липецк, Юношеская улица, 67Д","Юношеская, 67д/1",building,🏠 Здание — высокая точность,52.587313,39.452585,
195,"Липецк, Липецкая обл.","Липецкая область, город Липецк, поселок Сырский Рудник, Жактовская улица, 68","Жактовская, 68",building,🏠 Здание — высокая точность,52.567543,39.505351,
196,"Липецк, Липецкая обл.","398032, Липецкая область, город Липецк, Универсальный проезд, 5","Универсальный проезд, 5",building,🏠 Здание — высокая точность,52.617176,39.533792,
197,"Липецк, Липецкая обл.","398037, Липецкая область, город Липецк, Лебедянское шоссе, 3","Лебедянское шоссе, 3",building,🏠 Здание — высокая точность,52.625833,39.538648,
198,"Липецк, Липецкая обл.","398048, Липецкая область, город Липецк, улица Маршала Рыбалко, 11","Агроснаб, торговый дом",building,🏠 Здание — высокая точность,52.632095,39.509644,
200,"Липецк, Липецкая обл.","398005, Липецкая область, город Липецк, Ферросплавная улица, 12б","Ферросплавная, 12Б",building,🏠 Здание — высокая точность,52.572032,39.633468,
201,"Липецк, Липецкая обл.","398017, Липецкая область, город Липецк, Фанерная улица, 5","Фанерная, 5",building,🏠 Здание — высокая точность,52.569826,39.60724,
203,"Липецк, Липецкая обл.","398016, Липецкая область, город Липецк, улица Гагарина, 91","улица Гагарина, 91",building,🏠 Здание — высокая точность,52.622749,39.571568,
