excel_row,route_name,input,found,type,description,lat,lon,error
194,"Липецкий район, Липецкая обл.","399913, Липецкая область, село Сеновские Выселки",Выселки,adm_div,adm_div,53.504567,39.88291,
195,"Липецкий район, Липецкая обл.","399260, Липецкая область, Хлевенский район, село Хлевное, Дорожная улица",Дорожная улица,street,📍 Улица — средняя точность,52.193565,39.11406,
198,"Липецкий район, Липецкая обл.","398037, Липецкая область, город Липецк, Трубный проезд, 6","Трубный проезд, 6",building,🏠 Здание — высокая точность,52.625536,39.5409,
199,"Липецкий район, Липецкая обл.","398024, Липецкая область, город Липецк, улица Гоголя, 31","Гоголя, 31",building,🏠 Здание — высокая точность,52.599646,39.568528,
200,"Липецкий район, Липецкая обл.","398005, Липецкая область, город Липецк, улица Ферросплавная, 12б","Ферросплавная, 12Б",building,🏠 Здание — высокая точность,52.572032,39.633468,
201,"Липецкий район, Липецкая обл.","398048, Липецкая область, город Липецк, улица Задорожная, 24, 9","Задорожная, 24",building,🏠 Здание — высокая точность,52.639192,39.507039,
202,"Липецкий район, Липецкая обл.","398016, Липецкая область, город Липецк, улица Гагарина, 91, 5","улица Гагарина, 91",building,🏠 Здание — высокая точность,52.622749,39.571568,
205,"Липецкий район, Липецкая обл.","399058, Липецкая область, Грязинский район, город Грязи, улица Воровского, 19","улица Воровского, 19",building,🏠 Здание — высокая точность,52.494784,39.948794,
206,"Липецкий район, Липецкая обл.","399058, Липецкая область, Грязинский район, город Грязи, улица Воровского, 14",улица Воровского,street,📍 Улица — средняя точность,52.49422,39.94797,
207,"Липецкий район, Липецкая обл.","399331, Липецкая область, Усманский район, село Октябрьское, проспект Революции, 148",проспект Революции,street,📍 Улица — средняя точность,52.302356,39.722608,
209,"Липецкий район, Липецкая обл.","399370, Липецкая область, Усманский район, город Усмань, Советская улица, 15","Советская улица, 15",building,🏠 Здание — высокая точность,52.043402,39.739253,
210,"Липецкий район, Липецкая обл.","399370, Липецкая область, Усманский район, город Усмань, улица Радищева, 122","улица Радищева, 122",building,🏠 Здание — высокая точность,52.053706,39.73647,
211,"Липецкий район, Липецкая обл.","399370, Липецкая область, Усманский район, город Усмань, улица Ленина, 81",улица Ленина,street,📍 Улица — средняя точность,52.053668,39.736951,
