excel_row,route_name,input,found,type,description,lat,lon,error
247,"Павловский район, Воронежская обл.","Воронежская область, Трасса М-4 Дон 593 км, Адмирал",,,,,,Координаты не найдены
249,"Павловский район, Воронежская обл.","Трасса М-4 592 км, 2 х. Хренище, Бобровский район, Воронежская область","трасса М-4 592 км, 2",building,🏠 Здание — высокая точность,51.090619,39.797523,
250,"Павловский район, Воронежская обл.","Трасса М-4 592 км, 2 х. Хренище, Бобровский район, Воронежская область","трасса М-4 592 км, 2",building,🏠 Здание — высокая точность,51.090619,39.797523,
252,"Павловский район, Воронежская обл.","Трасса М-4 592 км, 2 х. Хренище, Бобровский район, Воронежская область","трасса М-4 592 км, 2",building,🏠 Здание — высокая точность,51.090619,39.797523,
253,"Павловский район, Воронежская обл.","Трасса М-4 598 км, 2 х. Соколовский, Бобровский район, Воронежская область","трасса М-4 598 км, 2",building,🏠 Здание — высокая точность,51.049899,39.838325,
254,"Павловский район, Воронежская обл.","Трасса М-4 598 км, 2 х. Соколовский, Бобровский район, Воронежская область","трасса М-4 598 км, 2",building,🏠 Здание — высокая точность,51.049899,39.838325,
255,"Павловский район, Воронежская обл.","Воронежская область, 600-й км трассы Дон, стоянка ""Крым""",Voronezh Oblast,adm_div,adm_div,51.134329,40.022274,
256,"Павловский район, Воронежская обл.","397964, Воронежская область, Лискинский район, поселок подсобного хозяйства санатория им.Цюрупы, Центральная улица, 1Б","Центральная улица, 1Б",building,🏠 Здание — высокая точность,51.034728,39.855901,
259,"Павловский район, Воронежская обл.","396420, Воронежская область, Павловский район, город Павловск, Восточная улица, 2","Восточная улица, 2",building,🏠 Здание — высокая точность,50.45636,40.140998,
260,"Павловский район, Воронежская обл.","396420, Воронежская область, Павловский район, город Павловск, микрорайон Гранитный, 4","Гранитный микрорайон, 4",building,🏠 Здание — высокая точность,50.448374,40.131306,
261,"Павловский район, Воронежская обл.","396420, Воронежская область, Павловский район, город Павловск, микрорайон Южный, 1","Южный микрорайон, 1",building,🏠 Здание — высокая точность,50.44718,40.135062,
262,"Павловский район, Воронежская обл.","396420, Воронежская область, Павловский район, город Павловск, микрорайон Южный, 1","Южный микрорайон, 1",building,🏠 Здание — высокая точность,50.44718,40.135062,
265,"Павловский район, Воронежская обл.","396420, Воронежская область, Павловский район, город Павловск, микрорайон Южный, 1","Южный микрорайон, 1",building,🏠 Здание — высокая точность,50.44718,40.135062,
266,"Павловский район, Воронежская обл.","396420, Воронежская область, Павловский район, город Павловск, микрорайон Южный, 1","Южный микрорайон, 1",building,🏠 Здание — высокая точность,50.44718,40.135062,
267,"Павловский район, Воронежская обл.","396420, Воронежская область, Павловский район, город Павловск, улица Чехова, 11","Чехова улица, 11",building,🏠 Здание — высокая точность,50.449237,40.129558,
269,"Павловский район, Воронежская обл.","396420, Воронежская область, Павловский район, город Павловск, улица Транспортная, 1","Транспортная улица, 1",building,🏠 Здание — высокая точность,50.450797,40.144511,
270,"Павловский район, Воронежская обл.","396420, Воронежская область, Павловский район, город Павловск, улица Транспортная, 3","Транспортная улица, 3",building,🏠 Здание — высокая точность,50.453528,40.147107,
272,"Павловский район, Воронежская обл.","396446, Воронежская область, Павловский район, село Княжево",Княжево,adm_div,adm_div,50.500308,40.211871,
273,"Павловский район, Воронежская обл.","Воронежская область, рабочий поселок Нижний Кисляй, улица Заводская, 13","Заводская улица, 13",building,🏠 Здание — высокая точность,50.857702,40.167351,
