excel_row,route_name,input,found,type,description,lat,lon,error
186,"Россошанский район, Воронежская обл.","396530, Воронежская область, Подгоренский район, поселок Красный Восход, Заводская улица, 37","Заводская улица, 37",exact,"<span class=""accuracy-tag tag-exact"">🏠 Здание — высокая точность</span>",50.597494,39.61947,
187,"Россошанский район, Воронежская обл.","396560, Воронежская область, Подгоренский район, поселок городского типа Подгоренский, Первомайская улица, 88А","Первомайская улица, 88а",exact,"<span class=""accuracy-tag tag-exact"">🏠 Здание — высокая точность</span>",50.405453,39.63825,
188,"Россошанский район, Воронежская обл.","Воронежская область, Подгоренский район, поселок городского типа Подгоренский, улица Энгельса, 39",Подгоренский,locality,"<span class=""accuracy-tag tag-locality"">🏘️ Населенный пункт — средняя точность</span>",50.404008,39.65261,
189,"Россошанский район, Воронежская обл.","396560, Воронежская область, Подгоренский район, поселок городского типа Подгоренский, улица Ленина, 19/1","улица Ленина, 19/1",exact,"<span class=""accuracy-tag tag-exact"">🏠 Здание — высокая точность</span>",50.404452,39.645693,
190,"Россошанский район, Воронежская обл.","396560, Воронежская область, Подгоренский район, поселок городского типа Подгоренский, Вокзальная улица, 2В","Вокзальная улица, 2в",exact,"<span class=""accuracy-tag tag-exact"">🏠 Здание — высокая точность</span>",50.399095,39.639897,
192,"Россошанский район, Воронежская обл.","396650, Воронежская область, Россошанский район, город Россошь, улица 50 лет СССР, 18","улица 50 Лет СССР, 18",exact,"<span class=""accuracy-tag tag-exact"">🏠 Здание — высокая точность</span>",50.204554,39.557913,
194,"Россошанский район, Воронежская обл.","396650, Воронежская область, Россошанский район, город Россошь, улица 50 лет СССР, 76Б/1","улица 50 Лет СССР, 76Б/1",exact,"<span class=""accuracy-tag tag-exact"">🏠 Здание — высокая точность</span>",50.217189,39.56055,
195,"Россошанский район, Воронежская обл.","396650, Воронежская область, Россошанский район, город Россошь, улица 50 лет СССР, 82","улица 50 Лет СССР, 82",exact,"<span class=""accuracy-tag tag-exact"">🏠 Здание — высокая точность</span>",50.212131,39.560021,
196,"Россошанский район, Воронежская обл.","396650, Воронежская область, Россошанский район, город Россошь, улица 50 лет СССР, 83-Б","улица 50 Лет СССР, 83Б",exact,"<span class=""accuracy-tag tag-exact"">🏠 Здание — высокая точность</span>",50.214274,39.556724,
197,"Россошанский район, Воронежская обл.","396650, Воронежская область, Россошанский район, город Россошь, улица Мира, 32","улица Мира, 32",exact,"<span class=""accuracy-tag tag-exact"">🏠 Здание — высокая точность</span>",50.20025,39.566251,
198,"Россошанский район, Воронежская обл.","396658, Воронежская область, Россошанский район, город Россошь, улица Мира, 141",улица Мира,street,"<span class=""accuracy-tag tag-street"">🛣️ Улица — средняя точность</span>",50.201184,39.580428,
199,"Россошанский район, Воронежская обл.","Воронежская область, Россошанский район, город Россошь, улица Мира, 166","улица Мира, 166",exact,"<span class=""accuracy-tag tag-exact"">🏠 Здание — высокая точность</span>",50.201009,39.587376,
200,"Россошанский район, Воронежская обл.","396650, Воронежская область, Россошанский район, город Россошь, Краснознаменный переулок, 1А","Краснознамённый переулок, 1а",exact,"<span class=""accuracy-tag tag-exact"">🏠 Здание — высокая точность</span>",50.208868,39.562131,
201,"Россошанский район, Воронежская обл.","396659, Воронежская область, Россошанский район, город Россошь, улица Карла Либкнехта, 5","улица Карла Либкнехта, 5",exact,"<span class=""accuracy-tag tag-exact"">🏠 Здание — высокая точность</span>",50.19725,39.542905,
202,"Россошанский район, Воронежская обл.","396659, Воронежская область, Россошанский район, город Россошь, улица Карла Либкнехта, 1а","улица Карла Либкнехта, 1а",exact,"<span class=""accuracy-tag tag-exact"">🏠 Здание — высокая точность</span>",50.197412,39.542169,
203,"Россошанский район, Воронежская обл.","396650, Воронежская область, Россошанский район, город Россошь, улица Январская, 43","Январская улица, 43",exact,"<span class=""accuracy-tag tag-exact"">🏠 Здание — высокая точность</span>",50.205861,39.551675,
204,"Россошанский район, Воронежская обл.","396659, Воронежская область, Россошанский район, город Россошь, площадь Октябрьская, 3Б","Октябрьская площадь, 3Б",exact,"<span class=""accuracy-tag tag-exact"">🏠 Здание — высокая точность</span>",50.19803,39.538702,
205,"Россошанский район, Воронежская обл.","396659, Воронежская область, Россошанский район, город Россошь, площадь Октябрьская, 9","Октябрьская площадь, 9",exact,"<span class=""accuracy-tag tag-exact"">🏠 Здание — высокая точность</span>",50.196969,39.539468,
206,"Россошанский район, Воронежская обл.","396659, Воронежская область, Россошанский район, город Россошь, площадь Октябрьская, 154а","Октябрьская площадь, 154а",exact,"<span class=""accuracy-tag tag-exact"">🏠 Здание — высокая точность</span>",50.207938,39.506533,
207,"Россошанский район, Воронежская обл.","396659, Воронежская область, Россошанский район, город Россошь, площадь Октябрьская, 154-а","Октябрьская площадь, 154а",exact,"<span class=""accuracy-tag tag-exact"">🏠 Здание — высокая точность</span>",50.207938,39.506533,
208,"Россошанский район, Воронежская обл.","396670, Воронежская область, Ольховатский район, рабочий поселок Ольховатка, Садовая улица, 2а","Садовая улица, 2а/4",exact,"<span class=""accuracy-tag tag-exact"">🏠 Здание — высокая точность</span>",50.286845,39.300696,
209,"Россошанский район, Воронежская обл.","396691, Воронежская область, Ольховатский район, поселок Заболотовка, улица Новаторов, 2","улица Новаторов, 2",exact,"<span class=""accuracy-tag tag-exact"">🏠 Здание — высокая точность</span>",50.280856,39.317724,
210,"Россошанский район, Воронежская обл.","396510, Воронежская область, Каменский район, поселок городского типа Каменка, улица Гагарина, 26Б","улица Гагарина, 26Б",exact,"<span class=""accuracy-tag tag-exact"">🏠 Здание — высокая точность</span>",50.713821,39.407202,
