excel_row,route_name,input,found,type,description,lat,lon,error
20,"Семилукский район, Воронежская обл.","394074, Воронежская область, город Воронеж, Балашовская улица, 29Е","Балашовская, 29е",building,🏠 Здание — высокая точность,51.595577,39.229971,
21,"Семилукский район, Воронежская обл.","394074, Воронежская область, город Воронеж, Ростовская улица, 41Б","Ростовская улица, 41Б",building,🏠 Здание — высокая точность,51.599486,39.250157,
23,"Семилукский район, Воронежская обл.","397853, Воронежская область, город Воронеж, улица 20 лет Октября, 36","улица 20-летия Октября, 36",building,🏠 Здание — высокая точность,51.644364,39.200915,
24,"Семилукский район, Воронежская обл.","394052, Воронежская область, город Воронеж, Броневая улица, 18б","Броневая улица, 18Б",building,🏠 Здание — высокая точность,51.633897,39.149446,
25,"Семилукский район, Воронежская обл.","Воронежская область, город Воронеж, проспект Патриотов, 43Г","проспект Патриотов, 43г",building,🏠 Здание — высокая точность,51.646122,39.122431,
26,"Семилукский район, Воронежская обл.","394091, Воронежская область, город Воронеж, Осенняя улица, 8А","Осенняя, 8а",building,🏠 Здание — высокая точность,51.652782,39.095065,
27,"Семилукский район, Воронежская обл.","396840, Воронежская область, Хохольский район, рабочий поселок Хохольский, Морозова переулок, 15","переулок Морозова, 15",building,🏠 Здание — высокая точность,51.583792,38.79271,
28,"Семилукский район, Воронежская обл.","Р-298 203 километр, 1 пос. Кузиха, Хохольский район, Воронежская область","Р-298 203 километр, 1",building,🏠 Здание — высокая точность,51.641599,38.698592,
29,"Семилукский район, Воронежская обл.","396950, Воронежская область, Семилукский район, рабочий поселок Латная, улица Ленина, 131","улица Ленина, 131",building,🏠 Здание — высокая точность,51.661145,38.900517,
30,"Семилукский район, Воронежская обл.","396900, Воронежская область, Семилукский район, город Семилуки, улица Крупской, 34","Крупской, 34",building,🏠 Здание — высокая точность,51.692269,39.023534,
33,"Семилукский район, Воронежская обл.","396901, Воронежская область, Семилукский район, город Семилуки, улица Щеголевых, 57","Щёголевых, 57",building,🏠 Здание — высокая точность,51.725538,39.039018,
34,"Семилукский район, Воронежская обл.","396901, Воронежская область, Семилукский район, город Семилуки, улица Щеголевых, 8в","Щёголевых, 8",building,🏠 Здание — высокая точность,51.726304,39.03923,
