excel_row,route_name,input,found,type,description,lat,lon,error
226,"Таловский район, Воронежская обл.","397702, Воронежская область, Бобровский район, город Бобров, улица 22 Января, 32а","улица 22 Января, 32а",building,🏠 Здание — высокая точность,51.102083,40.016257,
227,"Таловский район, Воронежская обл.","Воронежская область, город Бобров, улица Гагарина, 240а","улица Гагарина, 240",building,🏠 Здание — высокая точность,51.088835,40.01553,
228,"Таловский район, Воронежская обл.","397704, Воронежская область, Бобровский район, город Бобров, улица 60 лет Октября, 17б","улица 60 лет Октября, 17Б",building,🏠 Здание — высокая точность,51.085329,40.008101,
229,"Таловский район, Воронежская обл.","397740, Воронежская область, Бобровский район, село Хреновое, улица Базарная площадь, 23А","Базарная площадь, 23а",building,🏠 Здание — высокая точность,51.12822,40.282524,
230,"Таловский район, Воронежская обл.","Воронежская область, поселок городского типа Таловая, проезд Буденого",проезд Будённого,street,📍 Улица — средняя точность,51.108319,40.728123,
232,"Таловский район, Воронежская обл.","397482, Воронежская область, Таловский район, рабочий поселок Таловая, проезд Буденого, 29Д","проезд Будённого, 29",building,🏠 Здание — высокая точность,51.110481,40.727448,
234,"Таловский район, Воронежская обл.","397468, Воронежская область, Таловский район, поселок Казанка, Центральная улица, 36","Центральная улица, 36",building,🏠 Здание — высокая точность,51.244081,40.797432,
235,"Таловский район, Воронежская обл.","Воронежская область, Анна, улица Красноармейская, 154","Красноармейская улица, 154",building,🏠 Здание — высокая точность,51.489843,40.42349,
237,"Таловский район, Воронежская обл.","396140, Воронежская область, Панинский район, рабочий поселок Панино, Железнодорожная улица, 1Б","Железнодорожная улица, 1Б",building,🏠 Здание — высокая точность,51.650827,40.13294,
238,"Таловский район, Воронежская обл.","397030, Воронежская область, Эртильский район, город Эртиль, Первомайская улица, 1В","Первомайская улица, 1в",building,🏠 Здание — высокая точность,51.839414,40.80685,
240,"Таловский район, Воронежская обл.","396110, Воронежская область, Верхнехавский район, село Верхняя Хава, улица Ленина, 79","улица Ленина, 79",building,🏠 Здание — высокая точность,51.838596,39.943648,
241,"Таловский район, Воронежская обл.","Воронежская область, Верхнехавский район, село Верхняя Хава, улица Ленина, 15б","улица Ленина, 15",building,🏠 Здание — высокая точность,51.843564,39.933571,
242,"Таловский район, Воронежская обл.","396305, Воронежская область, Новоусманский район, село Орлово, улица Свободы, 62а","Свободы, 62",building,🏠 Здание — высокая точность,51.767144,39.591689,
