excel_row,route_name,input,found,type,description,lat,lon,error
75,Тамбов 3,"392000, Тамбовская область, город Моршанск, улица Сакко и Ванцетти, 51А","улица Сакко и Ванцетти, 51а",building,🏠 Здание — высокая точность,53.444082,41.80135,
76,Тамбов 3,"393943, Тамбовская область, Моршанский район, город Моршанск, улица Речная, 13","Речная улица, 13",building,🏠 Здание — высокая точность,53.433621,41.818138,
77,Тамбов 3,"392000, Тамбовская область, город Тамбов, Светлый микрорайон, улица Счастливая, 1","Счастливая, 1",building,🏠 Здание — высокая точность,52.785444,41.356022,
78,Тамбов 3,"392020, Тамбовская область, город Тамбов, улица Рабочая, 138","Рабочая, 138",building,🏠 Здание — высокая точность,52.733708,41.435942,
82,Тамбов 3,"392000, Тамбовская область, город Тамбов, улица Советская, 191А, 1","Советская улица, 191а",building,🏠 Здание — высокая точность,52.753285,41.448907,
83,Тамбов 3,"392003, Тамбовская область, город Тамбов, улица Рылеева, 59А, 5","улица Рылеева, 59а к1",building,🏠 Здание — высокая точность,52.758208,41.431476,
84,Тамбов 3,"392008, Тамбовская область, город Тамбов, улица Чичканова, 55","Чичканова улица, 55",building,🏠 Здание — высокая точность,52.738636,41.455635,
85,Тамбов 3,"392018, Тамбовская область, город Тамбов, улица Мичуринская, 48","Мичуринская улица, 48",building,🏠 Здание — высокая точность,52.737307,41.437628,
86,Тамбов 3,"392009, Тамбовская область, город Тамбов, улица Гастелло, 1","Гастелло, 1",building,🏠 Здание — высокая точность,52.720438,41.424185,
87,Тамбов 3,"392000, Тамбовская область, город Тамбов, улица Ипподромная, 8а","Русские машины, торговый центр",building,🏠 Здание — высокая точность,52.732647,41.418068,
88,Тамбов 3,"392028, Тамбовская область, город Тамбов, улица Бастионная, 8т","Бастионная, 8т",building,🏠 Здание — высокая точность,52.734511,41.388705,
