excel_row,route_name,input,found,type,description,lat,lon,error
72,Тульская область,"399704, Липецкая область, Становлянский район, село Ламское, улица Победы, 12",улица Победы,street,"<span class=""accuracy-tag tag-street"">🛣️ Улица — средняя точность</span>",52.963023,38.034489,
73,Тульская область,"301845, Тульская область, город Ефремов, улица Майорова, 2","улица Майорова, 2",exact,"<span class=""accuracy-tag tag-exact"">🏠 Здание — высокая точность</span>",53.149502,38.087836,
74,Тульская область,"Тульская область, город Ефремов, улица Горького, 53","улица Горького, 53",exact,"<span class=""accuracy-tag tag-exact"">🏠 Здание — высокая точность</span>",53.147172,38.109849,
75,Тульская область,"301840, Тульская область, Ефремовский район, город Ефремов, улица Новик, 1Б","улица Новик, 1Б",exact,"<span class=""accuracy-tag tag-exact"">🏠 Здание — высокая точность</span>",53.149904,38.100039,
76,Тульская область,"301900, Тульская область, Тепло-Огаревский район, рабочий поселок Теплое, улица Фролова, 151б","улица Фролова, 151Б",exact,"<span class=""accuracy-tag tag-exact"">🏠 Здание — высокая точность</span>",53.613413,37.601754,
77,Тульская область,"Тульская область, Щекинский район, 210 км трасса М-2 магазин Шатун",трасса М-2,street,"<span class=""accuracy-tag tag-street"">🛣️ Улица — средняя точность</span>",53.833108,37.413281,
79,Тульская область,"301246, Тульская область, Щекинский район, город Щекино, улица Лукашина, 10","Лукашина, 10",exact,"<span class=""accuracy-tag tag-exact"">🏠 Здание — высокая точность</span>",54.020839,37.505644,
80,Тульская область,"301248, Тульская область, Щекинский район, город Щекино, улица Советская, 28","Советская, 28",exact,"<span class=""accuracy-tag tag-exact"">🏠 Здание — высокая точность</span>",54.004438,37.511233,
81,Тульская область,"300901, Тульская область, город Тула, поселок Горелки, Московское шоссе, 2А","Московское шоссе, 2а",exact,"<span class=""accuracy-tag tag-exact"">🏠 Здание — высокая точность</span>",54.250174,37.611075,
82,Тульская область,"300004, Тульская область, город Тула, улица Кирова, 151","улица Кирова, 151",exact,"<span class=""accuracy-tag tag-exact"">🏠 Здание — высокая точность</span>",54.210603,37.662045,
83,Тульская область,"300045, Тульская область, город Тула, Новомосковское шоссе, 19","Новомосковское шоссе, 19",exact,"<span class=""accuracy-tag tag-exact"">🏠 Здание — высокая точность</span>",54.162607,37.638494,
84,Тульская область,"300045, Тульская область, город Тула, Новомосковское шоссе, 54","Новомосковское шоссе, 54",exact,"<span class=""accuracy-tag tag-exact"">🏠 Здание — высокая точность</span>",54.159407,37.635379,
85,Тульская область,"300045, Тульская область, город Тула, Новомосковское шоссе, 54","Новомосковское шоссе, 54",exact,"<span class=""accuracy-tag tag-exact"">🏠 Здание — высокая точность</span>",54.159407,37.635379,
86,Тульская область,"300045, Тульская область, город Тула, Новомосковская шоссе, 54Б",улица Новомосковская,street,"<span class=""accuracy-tag tag-street"">🛣️ Улица — средняя точность</span>",54.176927,37.641898,
88,Тульская область,"300045, Тульская область, город Тула, Новомосковское шоссе, 56а","Новомосковское шоссе, 56а",exact,"<span class=""accuracy-tag tag-exact"">🏠 Здание — высокая точность</span>",54.157933,37.636619,
90,Тульская область,217 км трассы М4 автостоянка «Тройка»  направление на Ростов,,not_found,"<span class=""accuracy-tag tag-error"">🤷 Не найдено</span>",,,Координаты не найдены
