excel_row,route_name,normalized_address
19,"Балашов, Саратовская обл.","Воронежская область, Борисоглебский район, город Борисоглебск, Первомайская улица, 119А"
20,"Балашов, Саратовская обл.","397171, Воронежская область, Борисоглебский район, город Борисоглебск, улица Середина, 89А"
21,"Балашов, Саратовская обл.","397160, Воронежская область, Борисоглебский район, город Борисоглебск, улица Свободы, 223"
22,"Балашов, Саратовская обл.","Воронежская область, Борисоглебский район, город Борисоглебск, Матросовская улица, 97-98"
23,"Балашов, Саратовская обл.","Воронежская область, Борисоглебский район, город Борисоглебск, Матросовская улица, 121"
24,"Балашов, Саратовская обл.","412304, Саратовская область, город Балашов, Саратовское шоссе, 13"
25,"Балашов, Саратовская обл.","412309, Саратовская область, город Балашов, улица 30 лет Победы, 174"
26,"Балашов, Саратовская обл.","412309, Саратовская область, город Балашов, улица 30 лет Победы, 170а"
27,"Балашов, Саратовская обл.","410000, Саратовская область, город Балашов, улица 50 лет ВЛКСМ, 2"
29,"Балашов, Саратовская обл.","412309, Саратовская область, город Балашов, улица Карла Маркса, 36"
30,"Балашов, Саратовская обл.","412304, Саратовская область, город Балашов, улица Орджоникидзе, 86"
31,"Балашов, Саратовская обл.","412309, Саратовская область, город Балашов, Пионерский проезд, 2"
33,"Балашов, Саратовская обл.","412308, Саратовская область, город Балашов, улица 9 Января, 67"
34,"Балашов, Саратовская обл.","397240, Воронежская область, Грибановский район, поселок городского типа Грибановский, Советская улица, 212"
35,"Балашов, Саратовская обл.","397242, Воронежская область, Грибановский район, поселок городского типа Грибановский, улица Сахзаводская, 22"
