excel_row,route_name,normalized_address
308,"Богучарский район, Воронежская обл.","396460, Воронежская область, Верхнемамонский район, село Верхний Мамон, улица Правды, 4"
310,"Богучарский район, Воронежская обл.","396460, Воронежская область, Верхнемамонский район, село Верхний Мамон, улица Правды, 69б"
311,"Богучарский район, Воронежская обл.","396460, Воронежская область, Верхнемамонский район, село Верхний Мамон, улица Строительная, 13"
313,"Богучарский район, Воронежская обл.","396754, Воронежская область, Богучарский район, поселок Вишневый"
315,"Богучарский район, Воронежская обл.","396790, Воронежская область, Богучарский район, город Богучар, улица Шолохова, 6"
316,"Богучарский район, Воронежская обл.","396790, Воронежская область, Богучарский район, город Богучар, улица Дзержинского, 20/1"
318,"Богучарский район, Воронежская обл.","396790, Воронежская область, Богучарский район, город Богучар, улица Дзержинского, 188"
319,"Богучарский район, Воронежская обл.","396790, Воронежская область, Богучарский район, город Богучар, улица Дзержинского, 241А"
320,"Богучарский район, Воронежская обл.","347005, Ростовская область, Белокалитвинский район, хутор Дядин"
322,"Богучарский район, Воронежская обл.","Трасса М-4 724 км, 1  ​с. Филоново, Богучарский район, Воронежская область"
323,"Богучарский район, Воронежская обл.","396481, Воронежская область, Верхнемамонский район, село Осетровка, 724 км трассы Дон (м-н USB)"
324,"Богучарский район, Воронежская обл.","396420, Воронежская область, Павловский район, город Павловск, улица Восточная, 2"
