excel_row,route_name,normalized_address
212,"Борисоглебский район, Воронежская обл.","Воронежская область, Грибановский поселок городского типа, Советская улица, 165б"
214,"Борисоглебский район, Воронежская обл.","397240, Воронежская область, Грибановский район, поселок городского типа Грибановский, Советская улица, 212"
215,"Борисоглебский район, Воронежская обл.","397163, Воронежская область, Борисоглебский район, город Борисоглебск, улица Чкалова, 86"
216,"Борисоглебский район, Воронежская обл.","Воронежская область, Борисоглебский район, город Борисоглебск, улица Первомайская, 119А"
218,"Борисоглебский район, Воронежская обл.","Воронежская область, Борисоглебский район, город Борисоглебск, улица Матросовская, 97-98"
220,"Борисоглебский район, Воронежская обл.","Воронежская область, Борисоглебский район, город Борисоглебск, улица Матросовская, 121"
221,"Борисоглебский район, Воронежская обл.","Воронежская область, Борисоглебский район, город Борисоглебск, улица Матросовская, 129"
223,"Борисоглебский район, Воронежская обл.","397165, Воронежская область, Борисоглебский район, город Борисоглебск, улица Матросовская, 156"
224,"Борисоглебский район, Воронежская обл.","Воронежская область, Борисоглебский район, город Борисоглебск, улица Матросовская, 158"
225,"Борисоглебский район, Воронежская обл.","397310, Воронежская область, Поворинский район, село Байчурово, Советский переулок, 1"
226,"Борисоглебский район, Воронежская обл.","412304, Саратовская область, город Балашов, Саратовское шоссе, 13"
227,"Борисоглебский район, Воронежская обл.","412304, Саратовская область, город Балашов, Саратовское шоссе, 14"
228,"Борисоглебский район, Воронежская обл.","412315, Саратовская область, город Балашов, улица Ленина, 45"
229,"Борисоглебский район, Воронежская обл.","412309, Саратовская область, город Балашов, улица 30 лет Победы, 174"
230,"Борисоглебский район, Воронежская обл.","412309, Саратовская область, город Балашов, улица 30 лет Победы, 170а"
231,"Борисоглебский район, Воронежская обл.","412309, Саратовская область, город Балашов, улица Карла Маркса, 36"
232,"Борисоглебский район, Воронежская обл.","410000, Саратовская область, город Балашов, улица 50 лет ВЛКСМ, 2"
233,"Борисоглебский район, Воронежская обл.","412304, Саратовская область, город Балашов, улица Орджоникидзе, 86"
235,"Борисоглебский район, Воронежская обл.","410000, Саратовская область, город Балашов, улица Привокзальная, 17"
236,"Борисоглебский район, Воронежская обл.","412308, Саратовская область, город Балашов, улица 9 Января, 121"
237,"Борисоглебский район, Воронежская обл.","397220, Воронежская область, Грибановский район, село Верхний Карачан, Набережная улица, 2"
