excel_row,route_name,normalized_address
169,"Бутурлиновский район, Воронежская обл.","397700, Воронежская область, Бобровский район, город Бобров, улица Алексеевского, 14"
170,"Бутурлиновский район, Воронежская обл.","397505, Воронежская область, Бутурлиновский район, город Бутурлиновка, Дорожная улица, 2"
171,"Бутурлиновский район, Воронежская обл.","397505, Воронежская область, Бутурлиновский район, город Бутурлиновка, Дорожная улица, 11"
172,"Бутурлиновский район, Воронежская обл.","397505, Воронежская область, Бутурлиновский район, город Бутурлиновка, Дорожная улица, 13"
173,"Бутурлиновский район, Воронежская обл.","397505, Воронежская область, Бутурлиновский район, город Бутурлиновка, Дорожная улица, 65"
175,"Бутурлиновский район, Воронежская обл.","397501, Воронежская область, Бутурлиновский район, город Бутурлиновка, улица Победы, 3/1"
176,"Бутурлиновский район, Воронежская обл.","397570, Воронежская область, Воробьевский район, село Воробьевка, улица Гоголя, 25"
177,"Бутурлиновский район, Воронежская обл.","397610, Воронежская область, Калачеевский район, село Заброды, Заброденская улица, 1"
178,"Бутурлиновский район, Воронежская обл.","Воронежская область, Калачеевский район, город Калач, Магистральная, 2Г"
179,"Бутурлиновский район, Воронежская обл.","397611, Воронежская область, Калачеевский район, село Заброды, Магистральная улица, 2Д"
180,"Бутурлиновский район, Воронежская обл.","Воронежская область, город Калач, улица 1 Мая, 136"
181,"Бутурлиновский район, Воронежская обл.","Воронежская область, город Калач, Чернышевского, 62"
183,"Бутурлиновский район, Воронежская обл.","397674, Воронежская область, Петропавловский район, село Бычок, улица Чапаева, 6"
184,"Бутурлиновский район, Воронежская обл.","397670, Воронежская область, Петропавловский район, село Петропавловка, улица 50 лет Октября, 2Б"
