excel_row,route_name,normalized_address
126,"Волгоград, Волгоградская обл.","Волгоградская область, село Ольшанка, улица Комарова, 69А"
127,"Волгоград, Волгоградская обл.","Волгоградская область, Урюпинск, Гора Восточная, 93"
128,"Волгоград, Волгоградская обл.","Волгоградская область, город Урюпинск, микрорайон Гора Восточная, 93"
129,"Волгоград, Волгоградская обл.","Волгоградская область, Урюпинск, Луговой переулок, 2/4"
130,"Волгоград, Волгоградская обл.","403113, Волгоградская область, город Урюпинск, улица Штеменко, 47/1"
132,"Волгоград, Волгоградская обл.","Волгоградская область, Урюпинский район, хутор Дубовский, улица Совхоз им.8 Марта, 9"
134,"Волгоград, Волгоградская обл.","397350, Воронежская область, Поворинский район, город Поворино, улица Пионерская, 49"
135,"Волгоград, Волгоградская обл.","397401, Воронежская область, Новохоперский район, город Новохоперск, улица Плотникова, 4Б"
136,"Волгоград, Волгоградская обл.","397420, Воронежская область, Новохоперский район, село Елань-Колено, улица Красный Октябрь, 15А"
137,"Волгоград, Волгоградская обл.","397420, Воронежская область, Новохоперский район, село Елань-Колено, улица Нагорная, 101а"
138,"Волгоград, Волгоградская обл.","397431, Воронежская область, Новохоперский район, рабочий поселок Елань-Коленовский, улица Ленина, 11"
