excel_row,route_name,normalized_address
112,"Воронеж, Воронежская обл.","Воронежская область, город Воронеж, Газовая улица, 28"
113,"Воронеж, Воронежская обл.","394016, Воронежская область, город Воронеж, улица 45 стрелковой дивизии, 234"
114,"Воронеж, Воронежская обл.","394016, Воронежская область, город Воронеж, Беговая улица, 205"
116,"Воронеж, Воронежская обл.","394026, Воронежская область, город Воронеж, улица Антонова-Овсеенко, 22, 14"
117,"Воронеж, Воронежская обл.","Воронежская область, город Воронеж, улица Антонова-Овсеенко, 22А"
118,"Воронеж, Воронежская обл.","Воронежская область, город Воронеж, улица Антонова-Овсеенко, 22А"
120,"Воронеж, Воронежская обл.","394088, Воронежская область, город Воронеж, улица Хользунова, 122"
121,"Воронеж, Воронежская обл.","394016, Воронежская область, город Воронеж, улица Лизюкова, 99"
122,"Воронеж, Воронежская обл.","394075, Воронежская область, город Воронеж, улица Академика Королева, 4е"
123,"Воронеж, Воронежская обл.","394088, Воронежская область, город Воронеж, улица Владимира Невского, 7"
