excel_row,route_name,normalized_address
297,Воронеж 5,"394090, Воронежская область, город Воронеж, Новосибирская улица, 61Д"
298,Воронеж 5,"394090, Воронежская область, город Воронеж, Ростовская улица, 41"
299,Воронеж 5,"394033, Воронежская область, город Воронеж, Ленинский проспект, 70"
300,Воронеж 5,"394091, Воронежская область, город Воронеж, Осенняя улица, 8А"
301,Воронеж 5,"Воронежская область, город Воронеж, проспект Патриотов, 43Г"
302,Воронеж 5,"394051, Воронежская область, город Воронеж, улица Героев Сибиряков, 23, IV"
303,Воронеж 5,"394038, Воронежская область, город Воронеж, улица Домостроителей, 1"
304,Воронеж 5,"394038, Воронежская область, город Воронеж, Дорожная улица, 15"
306,Воронеж 5,"394026, Воронежская область, город Воронеж, проспект Труда, 48"
307,Воронеж 5,"394065, Воронежская область, город Воронеж, Солнечная улица, 10/6"
308,Воронеж 5,"394026, Воронежская область, город Воронеж, Солнечная улица, 10б"
309,Воронеж 5,"394088, Воронежская область, город Воронеж, улица Хользунова, 122"
310,Воронеж 5,"394075, Воронежская область, город Воронеж, улица Академика Королева, 4, е"
