excel_row,route_name,normalized_address
3,Воронеж ЛБ,"Воронежская область, город Воронеж, улица Ростовская, 62а"
4,Воронеж ЛБ,"394014, Воронежская область, город Воронеж, улица Лебедева, 2А"
5,Воронеж ЛБ,"394076, Воронежская область, город Воронеж, улица Красный Октябрь, 1Б"
8,Воронеж ЛБ,"394033, Воронежская область, город Воронеж, улица Брусилова, 4О"
12,Воронеж ЛБ,"394028, Воронежская область, город Воронеж, Монтажный проезд, 3ж"
13,Воронеж ЛБ,"394028, Воронежская область, город Воронеж, улица Димитрова, 124А"
14,Воронеж ЛБ,"Воронежская область, Новоусманский район, село Новая Усмань, улица Ростовская, 2Б"
18,Воронеж ЛБ,"Воронежская область, Новоусманский район, село Новая Усмань, улица Дорожная, 4А"
20,Воронеж ЛБ,"394033, Воронежская область, город Воронеж, улица Землячки, 21"
21,Воронеж ЛБ,"394033, Воронежская область, город Воронеж, Ленинский проспект, 172ж"
22,Воронеж ЛБ,"394033, Воронежская область, город Воронеж, Ленинский проспект, 176"
