excel_row,route_name,normalized_address
169,Интернет магазин,"394026, Воронежская область, город Воронеж, проспект Труда, 48"
170,Интернет магазин,"394065, Воронежская область, город Воронеж, Солнечная улица, 10/6"
171,Интернет магазин,"394026, Воронежская область, город Воронеж, Солнечная улица, 10б"
172,Интернет магазин,"394016, Воронежская область, город Воронеж, Солнечная улица, 101"
173,Интернет магазин,"394026, Воронежская область, город Воронеж, Электросигнальная улица, 17, 25"
174,Интернет магазин,"394094, Воронежская область, город Воронеж, улица Антонова-Овсеенко, 22А"
175,Интернет магазин,"Воронежская область, город Воронеж, улица Антонова-Овсеенко, 22"
176,Интернет магазин,"Воронежская область, город Воронеж, улица Антонова-Овсеенко, 22А"
178,Интернет магазин,"394088, Воронежская область, город Воронеж, улица Хользунова, 122"
179,Интернет магазин,"394075, Воронежская область, город Воронеж, улица Академика Королева, 4, е"
