excel_row,route_name,normalized_address
176,"Калачеевский район, Воронежская обл.","397505, Воронежская область, Бутурлиновский район, город Бутурлиновка, Дорожная улица, 2"
177,"Калачеевский район, Воронежская обл.","397505, Воронежская область, Бутурлиновский район, город Бутурлиновка, Дорожная улица, 13"
178,"Калачеевский район, Воронежская обл.","397505, Воронежская область, Бутурлиновский район, город Бутурлиновка, Дорожная улица, 13"
180,"Калачеевский район, Воронежская обл.","397505, Воронежская область, Бутурлиновский район, город Бутурлиновка, Дорожная улица, 65"
181,"Калачеевский район, Воронежская обл.","397501, Воронежская область, Бутурлиновский район, город Бутурлиновка, Совхозная улица, 29"
182,"Калачеевский район, Воронежская обл.","397501, Воронежская область, Бутурлиновский район, город Бутурлиновка, Калинина улица, 190"
183,"Калачеевский район, Воронежская обл.","397570, Воронежская область, Воробьевский район, село Воробьевка, Гоголя улица, 14"
184,"Калачеевский район, Воронежская обл.","397570, Воронежская область, Воробьевский район, село Воробьевка, Гоголя улица, 25"
185,"Калачеевский район, Воронежская обл.","Воронежская область, Калачеевский район, город Калач, Магистральная, 2Г"
186,"Калачеевский район, Воронежская обл.","397611, Воронежская область, Калачеевский район, село Заброды, Магистральная улица, 2Д"
187,"Калачеевский район, Воронежская обл.","Воронежская область, город Калач, улица 1 Мая, 136"
189,"Калачеевский район, Воронежская обл.","Воронежская область, город Калач, Чернышевского, 62"
190,"Калачеевский район, Воронежская обл.","397605, Воронежская область, Калачеевский район, поселок Пригородный, Промышленников улица, 4"
191,"Калачеевский район, Воронежская обл.","397670, Воронежская область, Петропавловский район, село Петропавловка, улица 50 лет Октября, 2Б"
