excel_row,route_name,normalized_address
214,"Кантемировский район, Воронежская обл.","396710, Воронежская область, Кантемировский район, село Михайловка, улица Крупской, 59"
215,"Кантемировский район, Воронежская обл.","396730, Воронежская область, Кантемировский район, рабочий поселок Кантемировка, улица Комсомольская, 33"
217,"Кантемировский район, Воронежская обл.","396700, Воронежская область, Кантемировский район, село Митрофановка, улица Ленина, 90"
218,"Кантемировский район, Воронежская обл.","396637, Воронежская область, Россошанский район, село Первомайское, улица Колхозная, 16Б"
219,"Кантемировский район, Воронежская обл.","396643, Воронежская область, Россошанский район, село Жилино, улица Центральная, 15-а"
220,"Кантемировский район, Воронежская обл.","Воронежская область, Россошанский район, село Ольховатка, улица Октябрьская, 45"
221,"Кантемировский район, Воронежская обл.","396670, Воронежская область, Ольховатский район, рабочий поселок Ольховатка, переулок Горького, 11"
222,"Кантемировский район, Воронежская обл.","396611, Воронежская область, Россошанский район, поселок Ольховатка, улица Кирова, 44"
225,"Кантемировский район, Воронежская обл.","396685, Воронежская область, Ольховатский район, поселок Большие Базы, улица Кирова, 101"
226,"Кантемировский район, Воронежская обл.","396673, Воронежская область, Ольховатский район, село Караяшник, улица Зеленая, 1а"
227,"Кантемировский район, Воронежская обл.","396678, Воронежская область, Ольховатский район, хутор Постоялый"
