excel_row,route_name,normalized_address
59,"Курск, Курская обл.","305022, Курская область, город Курск, 1-я Агрегатная улица, 8А"
60,"Курск, Курская обл.","305023, Курская область, город Курск, Литовская улица, 2-Е"
62,"Курск, Курская обл.","305040, Курская область, город Курск, Запольная улица, 60А"
63,"Курск, Курская обл.","305014, Курская область, город Курск, Кирпичная улица, 27"
64,"Курск, Курская обл.","Курская область, город Курск, улица Энгельса, 109А пав.2"
65,"Курск, Курская обл.","Курская область, город Курск, улица Энгельса, 109А пав.10"
66,"Курск, Курская обл.","305018, Курская область, город Курск, улица Энергетиков, 2"
67,"Курск, Курская обл.","Курская область, город Курск, улица Энергетиков, 2 Пав. 123"
68,"Курск, Курская обл.","Курская область, город Курск, улица Энергетиков, 2 павильон 120"
69,"Курск, Курская обл.","Курская область, город Курск, улица Энергетиков, 2 пав. 125"
70,"Курск, Курская обл.","305047, Курская область, город Курск, улица Энгельса, 171Б"
71,"Курск, Курская обл.","305025, Курская область, город Курск, Магистральный проезд, 3"
72,"Курск, Курская обл.","305025, Курская область, город Курск, Магистральная улица, 1"
73,"Курск, Курская обл.","307200, Курская область, Октябрьский район, деревня Маслова, Октябрьская улица, 266"
