excel_row,route_name,normalized_address
104,Курск 4,"306800, Курская область, Горшеченский район, рабочий поселок Горшечное, Октябрьская улица, 10"
105,Курск 4,"306600, Курская область, Советский район, рабочий поселок Кшенский, Ленина улица, 7б"
106,Курск 4,"306440, Курская область, Черемисиновский район, поселок городского типа Черемисиново, Дзержинского улица, 2"
108,Курск 4,"306530, Курская область, город Щигры, Ленина улица, 1"
109,Курск 4,"306530, Курская область, город Щигры, Ленина улица, 5А"
110,Курск 4,"306530, Курская область, город Щигры, Макарова улица, 10"
112,Курск 4,"305044, Курская область, город Курск, Станционная улица, 41"
114,Курск 4,"305044, Курская область, город Курск, Станционная улица, 41"
115,Курск 4,"Курская область, город Курск, Соловьиная улица, 49"
116,Курск 4,"305022, Курская область, город Курск, Республиканская улица, 1Б"
118,Курск 4,"305022, Курская область, город Курск, 2-я Рабочая улица, 21"
120,Курск 4,"305022, Курская область, город Курск, 2-я Рабочая улица, 21"
122,Курск 4,"305023, Курская область, город Курск, Литовская улица, 2-Е"
123,Курск 4,"305019, Курская область, город Курск, Малых улица, 5А"
124,Курск 4,"305040, Курская область, город Курск, Запольная улица, 54"
125,Курск 4,"305007, Курская область, город Курск, Энгельса улица, 103"
