excel_row,route_name,normalized_address
153,Курчатов,"307214, Курская область, Октябрьский район, село Дьяконово, Победы улица, 75"
154,Курчатов,"307200, Курская область, Октябрьский район, деревня Маслова, Октябрьская улица, 266"
155,Курчатов,"307251, Курская область, город Курчатов, Молодежная улица, 1"
156,Курчатов,"307251, Курская область, город Курчатов, Молодежная улица, 1В"
158,Курчатов,"307251, Курская область, город Курчатов, Молодежная улица, 3В"
159,Курчатов,"307251, Курская область, город Курчатов, Ленинградская улица, 37А"
160,Курчатов,"307751, Курская область, город Льгов, улица Л.Толстого, 76а"
161,Курчатов,"307751, Курская область, город Льгов, улица Л.Толстого, 76Д"
163,Курчатов,"307754, Курская область, город Льгов, улица Примакова, 81а"
164,Курчатов,"307750, Курская область, город Льгов, Комсомольская улица, 63"
165,Курчатов,"307205, Курская область, Октябрьский район, село Журавлино"
166,Курчатов,"307030, Курская область, Медвенский район, поселок городского типа Медвенка, Советская улица, 25"
