excel_row,route_name,normalized_address
188,"Липецк, Липецкая обл.","396039, Воронежская область, Рамонский район, деревня Галкино"
189,"Липецк, Липецкая обл.","396031, Воронежская область, Рамонский район, поселок Комсомольский, Солнечная улица, 12/2А"
190,"Липецк, Липецкая обл.","398513, Липецкая область, Липецкий район, село Частая Дубрава, Молодежная улица, 5"
192,"Липецк, Липецкая обл.","398902, Липецкая область, город Липецк, Юношеская улица, 48"
193,"Липецк, Липецкая обл.","398902, Липецкая область, город Липецк, Юношеская улица, 48"
194,"Липецк, Липецкая обл.","398902, Липецкая область, город Липецк, Юношеская улица, 67Д"
195,"Липецк, Липецкая обл.","Липецкая область, город Липецк, поселок Сырский Рудник, Жактовская улица, 68"
196,"Липецк, Липецкая обл.","398032, Липецкая область, город Липецк, Универсальный проезд, 5"
197,"Липецк, Липецкая обл.","398037, Липецкая область, город Липецк, Лебедянское шоссе, 3"
198,"Липецк, Липецкая обл.","398048, Липецкая область, город Липецк, улица Маршала Рыбалко, 11"
200,"Липецк, Липецкая обл.","398005, Липецкая область, город Липецк, Ферросплавная улица, 12б"
201,"Липецк, Липецкая обл.","398017, Липецкая область, город Липецк, Фанерная улица, 5"
203,"Липецк, Липецкая обл.","398016, Липецкая область, город Липецк, улица Гагарина, 91"
