excel_row,route_name,normalized_address
9,Липецк 2,"393760, Тамбовская область, город Мичуринск, Гоголевская улица, 148"
10,Липецк 2,"393763, Тамбовская область, город Мичуринск, Автозаводская улица, 2а"
13,Липецк 2,"399140, Липецкая область, Добровский район, село Доброе, Советская улица, 1А"
14,Липецк 2,"399140, Липецкая область, Добровский район, село Доброе, Желябова улица, 1"
15,Липецк 2,"399900, Липецкая область, Чаплыгинский район, город Чаплыгин, Горького улица, 33б"
16,Липецк 2,"399940, Липецкая область, Чаплыгинский район, село Кривополянье, Центральная улица, 75а"
17,Липецк 2,"399870, Липецкая область, Лев-Толстовский район, поселок Лев Толстой, Пионерская улица, 50/2"
18,Липецк 2,"Липецкая область, Данковский район, город Данков, улица Мира, 75 к 2"
20,Липецк 2,"399783, Липецкая область, город Елец, Коммунаров улица, 117"
21,Липецк 2,"399780, Липецкая область, город Елец, Новоселов улица, 23"
