excel_row,route_name,normalized_address
196,"Липецкий район, Липецкая обл.","398016, Липецкая область, город Липецк, улица Гагарина, 91, 5"
197,"Липецкий район, Липецкая обл.","398005, Липецкая область, город Липецк, проспект Мира, 26"
198,"Липецкий район, Липецкая обл.","398005, Липецкая область, город Липецк, улица Ферросплавная, 12б"
199,"Липецкий район, Липецкая обл.","Липецкая область, город Липецк, улица Студеновская, 193"
200,"Липецкий район, Липецкая обл.","399053, Липецкая область, Грязинский район, город Грязи, улица Советская, 88"
201,"Липецкий район, Липецкая обл.","399057, Липецкая область, Грязинский район, город Грязи, улица Песковатская, 1б"
202,"Липецкий район, Липецкая обл.","399058, Липецкая область, Грязинский район, город Грязи, улица Воровского, 19"
203,"Липецкий район, Липецкая обл.","399373, Липецкая область, Усманский район, город Усмань, улица Ленина, 39"
204,"Липецкий район, Липецкая обл.","399370, Липецкая область, Усманский район, город Усмань, улица Ленина, 81"
205,"Липецкий район, Липецкая обл.","399370, Липецкая область, Усманский район, город Усмань, улица К.Маркса, 21"
207,"Липецкий район, Липецкая обл.","399371, Липецкая область, Усманский район, город Усмань, улица Маяковского, 2А"
208,"Липецкий район, Липецкая обл.","399370, Липецкая область, Усманский район, город Усмань, улица Радищева, 122"
211,"Липецкий район, Липецкая обл.","399372, Липецкая область, Усманский район, город Усмань, улица Елецкая 1-я, 1Б"
