excel_row,route_name,normalized_address
28,Орловская обл,"303850, Орловская область, город Ливны, поселок Дубки, Рабочая улица, 1"
29,Орловская обл,"Орловская область, город Ливны, Железнодорожная улица, 10В"
30,Орловская обл,"399780, Липецкая область, город Елец, улица Новоселов, 23"
31,Орловская обл,"399783, Липецкая область, город Елец, улица Коммунаров, 115"
32,Орловская обл,"399778, Липецкая область, город Елец, Московское шоссе, 18"
33,Орловская обл,"399788, Липецкая область, город Елец, Московское шоссе, 6"
34,Орловская обл,"399200, Липецкая область, Задонский район, город Задонск, Советская улица, 24"
35,Орловская обл,"Липецкая область, Задонский район, город Задонск, улица Комуна, 54"
36,Орловская обл,"399540, Липецкая область, Тербунский район, село Тербуны, Советская улица, 8"
37,Орловская обл,"399260, Липецкая область, Хлевенский район, село Хлевное, Дорожная улица"
39,Орловская обл,"396034, Воронежская область, Рамонский район, село Новоживотинное, Донская улица, 7"
