excel_row,route_name,normalized_address
213,"Острогожский район, Воронежская обл.","Трасса М-4 592 км, 2 х. Хренище, Бобровский район, Воронежская область"
214,"Острогожский район, Воронежская обл.","Трасса М-4 592 км, 2 х. Хренище, Бобровский район, Воронежская область"
215,"Острогожский район, Воронежская обл.","Трасса М-4 592 км, 2 х. Хренище, Бобровский район, Воронежская область"
216,"Острогожский район, Воронежская обл.","397955, Воронежская область, Лискинский район, город Лиски, проспект Ленина, 41б"
217,"Острогожский район, Воронежская обл.","397903, Воронежская область, Лискинский район, город Лиски, улица Калинина, 6"
218,"Острогожский район, Воронежская обл.","397903, Воронежская область, Лискинский район, город Лиски, улица Фестивальная, 18"
219,"Острогожский район, Воронежская обл.","397903, Воронежская область, Лискинский район, город Лиски, улица Фестивальная, 20"
220,"Острогожский район, Воронежская обл.","397855, Воронежская область, город Острогожск, улица Кирова, 110, 2"
221,"Острогожский район, Воронежская обл.","397855, Воронежская область, Острогожский район, город Острогожск, улица Кирова, 110"
222,"Острогожский район, Воронежская обл.","397853, Воронежская область, Острогожский район, город Острогожск, улица Карла Маркса, 49"
223,"Острогожский район, Воронежская обл.","Воронежская область, Острогожский район, город Острогожск, улица Карла Маркса, 44"
224,"Острогожский район, Воронежская обл.","396370, Воронежская область, Репьевский район, село Репьевка, Торговый переулок, 11А"
225,"Острогожский район, Воронежская обл.","396070, Воронежская область, город Нововоронеж, улица Мира, 8г"
226,"Острогожский район, Воронежская обл.","396340, Воронежская область, Каширский район, поселок Колодезный, улица Ленина, 21"
