excel_row,route_name,normalized_address
283,"Павловский район, Воронежская обл.","Трасса М-4 598 км, 2  ​х. Соколовский, Бобровский район, Воронежская область"
284,"Павловский район, Воронежская обл.","396432, Воронежская область, Павловский район, село Лосево, проспект Революции, 65"
286,"Павловский район, Воронежская обл.","396432, Воронежская область, Павловский район, село Лосево, Земледельческая улица, 10а"
288,"Павловский район, Воронежская обл.","396431, Воронежская область, Павловский район, село Лосево, проспект Революции, 50"
289,"Павловский район, Воронежская обл.","396431, Воронежская область, Павловский район, село Лосево, проспект Революции, 50"
290,"Павловский район, Воронежская обл.","396456, Воронежская область, Павловский район, поселок Заосередные Сады, Первомайская улица, 48С"
291,"Павловский район, Воронежская обл.","396420, Воронежская область, Павловский район, город Павловск, микрорайон Гранитный, 4"
292,"Павловский район, Воронежская обл.","Воронежская область, Павловский район, город Павловск, северный авторынок магазин «Светофор»"
293,"Павловский район, Воронежская обл.","396420, Воронежская область, Павловский район, город Павловск, микрорайон Южный, 1"
296,"Павловский район, Воронежская обл.","Воронежская область, Павловский район, город Павловск, авторынок Пав 25"
297,"Павловский район, Воронежская обл.","396420, Воронежская область, Павловский район, город Павловск, Транспортная улица, 3"
299,"Павловский район, Воронежская обл.","396420, Воронежская область, Павловский район, город Павловск, Транспортная улица, 3"
300,"Павловский район, Воронежская обл.","396420, Воронежская область, Павловский район, город Павловск, Транспортная улица, 2"
301,"Павловский район, Воронежская обл.","396440, Воронежская область, Павловский район, поселок Новенький"
302,"Павловский район, Воронежская обл.","396440, Воронежская область, Павловский район, село Воронцовка, Большая улица, 27А"
303,"Павловский район, Воронежская обл.","Воронежская область, рабочий поселок Нижний Кисляй, улица Заводская, 13"
304,"Павловский район, Воронежская обл.","397535, Воронежская область, Бутурлиновский район, рабочий поселок Нижний Кисляй, улица Полякова, 67"
305,"Павловский район, Воронежская обл.","397715, Воронежская область, Бобровский район, село Мечетка, Школьная улица, 11"
306,"Павловский район, Воронежская обл.","396350, Воронежская область, Каширский район, село Каширское, Комсомольская улица, 1"
