excel_row,route_name,normalized_address
22,"Рамонский район, Воронежская обл.","396039, Воронежская область, Рамонский район, деревня Богданово, Лесная улица, 31"
23,"Рамонский район, Воронежская обл.","396034, Воронежская область, Рамонский район, село Новоживотинное, Донская улица, 7"
24,"Рамонский район, Воронежская обл.","396002, Воронежская область, Рамонский район, село Айдарово, 34, 1"
25,"Рамонский район, Воронежская обл.","396020, Воронежская область, Рамонский район, рабочий поселок Рамонь, улица 50 лет ВЛКСМ, 2"
26,"Рамонский район, Воронежская обл.","​Автодорога Москва-Воронеж 491 километр, 2"
27,"Рамонский район, Воронежская обл.","396310, Воронежская область, Новоусманский район, село Новая Усмань"
28,"Рамонский район, Воронежская обл.","396313, Воронежская область, Новоусманский район, село Бабяково, Индустриальная улица, 94"
29,"Рамонский район, Воронежская обл.","396310, Воронежская область, Новоусманский район, село Новая Усмань, Ольховая улица, 9А"
30,"Рамонский район, Воронежская обл.","396311, Воронежская область, Новоусманский район, село Новая Усмань, Дорожная улица, 57, 2"
31,"Рамонский район, Воронежская обл.","362545, Воронежская область, Рамонский район, Айдаровское сельское поселение, 5-я Промышленная зона, 12, 1"
32,"Рамонский район, Воронежская обл.","394026, Воронежская область, город Воронеж, проспект Труда, 48/Г"
33,"Рамонский район, Воронежская обл.","394026, Воронежская область, город Воронеж, проспект Труда, 48"
34,"Рамонский район, Воронежская обл.","394026, Воронежская область, город Воронеж, Солнечная улица, 10б"
35,"Рамонский район, Воронежская обл.","394065, Воронежская область, город Воронеж, Солнечная улица, 10/6"
36,"Рамонский район, Воронежская обл.","394016, Воронежская область, город Воронеж, Солнечная улица, 101"
37,"Рамонский район, Воронежская обл.","394075, Воронежская область, город Воронеж, улица Академика Королева, 4, е"
