excel_row,route_name,normalized_address
186,"Россошанский район, Воронежская обл.","396530, Воронежская область, Подгоренский район, поселок Красный Восход, Заводская улица, 37"
187,"Россошанский район, Воронежская обл.","396560, Воронежская область, Подгоренский район, поселок городского типа Подгоренский, Первомайская улица, 88А"
188,"Россошанский район, Воронежская обл.","Воронежская область, Подгоренский район, поселок городского типа Подгоренский, улица Энгельса, 39"
189,"Россошанский район, Воронежская обл.","396560, Воронежская область, Подгоренский район, поселок городского типа Подгоренский, улица Ленина, 19/1"
190,"Россошанский район, Воронежская обл.","396560, Воронежская область, Подгоренский район, поселок городского типа Подгоренский, Вокзальная улица, 2В"
192,"Россошанский район, Воронежская обл.","396650, Воронежская область, Россошанский район, город Россошь, улица 50 лет СССР, 18"
194,"Россошанский район, Воронежская обл.","396650, Воронежская область, Россошанский район, город Россошь, улица 50 лет СССР, 76Б/1"
195,"Россошанский район, Воронежская обл.","396650, Воронежская область, Россошанский район, город Россошь, улица 50 лет СССР, 82"
196,"Россошанский район, Воронежская обл.","396650, Воронежская область, Россошанский район, город Россошь, улица 50 лет СССР, 83-Б"
197,"Россошанский район, Воронежская обл.","396650, Воронежская область, Россошанский район, город Россошь, улица Мира, 32"
198,"Россошанский район, Воронежская обл.","396658, Воронежская область, Россошанский район, город Россошь, улица Мира, 141"
199,"Россошанский район, Воронежская обл.","Воронежская область, Россошанский район, город Россошь, улица Мира, 166"
200,"Россошанский район, Воронежская обл.","396650, Воронежская область, Россошанский район, город Россошь, Краснознаменный переулок, 1А"
201,"Россошанский район, Воронежская обл.","396659, Воронежская область, Россошанский район, город Россошь, улица Карла Либкнехта, 5"
202,"Россошанский район, Воронежская обл.","396659, Воронежская область, Россошанский район, город Россошь, улица Карла Либкнехта, 1а"
203,"Россошанский район, Воронежская обл.","396650, Воронежская область, Россошанский район, город Россошь, улица Январская, 43"
204,"Россошанский район, Воронежская обл.","396659, Воронежская область, Россошанский район, город Россошь, площадь Октябрьская, 3Б"
205,"Россошанский район, Воронежская обл.","396659, Воронежская область, Россошанский район, город Россошь, площадь Октябрьская, 9"
206,"Россошанский район, Воронежская обл.","396659, Воронежская область, Россошанский район, город Россошь, площадь Октябрьская, 154а"
207,"Россошанский район, Воронежская обл.","396659, Воронежская область, Россошанский район, город Россошь, площадь Октябрьская, 154-а"
208,"Россошанский район, Воронежская обл.","396670, Воронежская область, Ольховатский район, рабочий поселок Ольховатка, Садовая улица, 2а"
209,"Россошанский район, Воронежская обл.","396691, Воронежская область, Ольховатский район, поселок Заболотовка, улица Новаторов, 2"
210,"Россошанский район, Воронежская обл.","396510, Воронежская область, Каменский район, поселок городского типа Каменка, улица Гагарина, 26Б"
