excel_row,route_name,normalized_address
20,"Семилукский район, Воронежская обл.","394074, Воронежская область, город Воронеж, Балашовская улица, 29Е"
21,"Семилукский район, Воронежская обл.","394074, Воронежская область, город Воронеж, Ростовская улица, 41Б"
23,"Семилукский район, Воронежская обл.","397853, Воронежская область, город Воронеж, улица 20 лет Октября, 36"
24,"Семилукский район, Воронежская обл.","394052, Воронежская область, город Воронеж, Броневая улица, 18б"
25,"Семилукский район, Воронежская обл.","Воронежская область, город Воронеж, проспект Патриотов, 43Г"
26,"Семилукский район, Воронежская обл.","394091, Воронежская область, город Воронеж, Осенняя улица, 8А"
27,"Семилукский район, Воронежская обл.","396840, Воронежская область, Хохольский район, рабочий поселок Хохольский, Морозова переулок, 15"
28,"Семилукский район, Воронежская обл.","Р-298 203 километр, 1 пос. Кузиха, Хохольский район, Воронежская область"
29,"Семилукский район, Воронежская обл.","396950, Воронежская область, Семилукский район, рабочий поселок Латная, улица Ленина, 131"
30,"Семилукский район, Воронежская обл.","396900, Воронежская область, Семилукский район, город Семилуки, улица Крупской, 34"
33,"Семилукский район, Воронежская обл.","396901, Воронежская область, Семилукский район, город Семилуки, улица Щеголевых, 57"
34,"Семилукский район, Воронежская обл.","396901, Воронежская область, Семилукский район, город Семилуки, улица Щеголевых, 8в"
