excel_row,route_name,normalized_address
263,"Таловский район, Воронежская обл.","397702, Воронежская область, Бобровский район, город Бобров, улица 22 Января, 62а"
264,"Таловский район, Воронежская обл.","Воронежская область, город Бобров, улица Кирова, 1А"
265,"Таловский район, Воронежская обл.","397740, Воронежская область, Бобровский район, село Хреновое, улица Базарная площадь, 23А"
266,"Таловский район, Воронежская обл.","397482, Воронежская область, Таловский район, рабочий поселок Таловая, улица Пирогова, 4Б"
267,"Таловский район, Воронежская обл.","Воронежская область, поселок городского типа Таловая, проезд Буденого"
268,"Таловский район, Воронежская обл.","397480, Воронежская область, Таловский район, рабочий поселок Таловая, улица Чапаева, 22"
269,"Таловский район, Воронежская обл.","Воронежская область, Анна, улица Красноармейская, 154"
270,"Таловский район, Воронежская обл.","Улица Новый Труд, 1  ​пгт Анна, Аннинский район, Воронежская область​ 396250"
271,"Таловский район, Воронежская обл.","396250, Воронежская область, Аннинский район, поселок городского типа Анна, улица Красноармейская, 8Г"
272,"Таловский район, Воронежская обл.","Воронежская область, поселок городского типа Анна, улица Красноармейская, 8а"
274,"Таловский район, Воронежская обл.","396140, Воронежская область, Панинский район, рабочий поселок Панино, улица Железнодорожная, 1Б"
276,"Таловский район, Воронежская обл.","Воронежская область, Верхнехавский район, село Верхняя Хава, улица Калинина, 115а"
278,"Таловский район, Воронежская обл.","396110, Воронежская область, Верхнехавский район, село Верхняя Хава, улица Ленина, 79"
279,"Таловский район, Воронежская обл.","396110, Воронежская область, Верхнехавский район, село Верхняя Хава, улица Буденного, 25"
280,"Таловский район, Воронежская обл.","396305, Воронежская область, Новоусманский район, село Орлово, улица Свободы, 62а"
