excel_row,route_name,normalized_address
75,Тамбов 3,"392000, Тамбовская область, город Моршанск, улица Сакко и Ванцетти, 51А"
76,Тамбов 3,"393943, Тамбовская область, Моршанский район, город Моршанск, улица Речная, 13"
77,Тамбов 3,"392000, Тамбовская область, город Тамбов, Светлый микрорайон, улица Счастливая, 1"
78,Тамбов 3,"392020, Тамбовская область, город Тамбов, улица Рабочая, 138"
82,Тамбов 3,"392000, Тамбовская область, город Тамбов, улица Советская, 191А, 1"
83,Тамбов 3,"392003, Тамбовская область, город Тамбов, улица Рылеева, 59А, 5"
84,Тамбов 3,"392008, Тамбовская область, город Тамбов, улица Чичканова, 55"
85,Тамбов 3,"392018, Тамбовская область, город Тамбов, улица Мичуринская, 48"
86,Тамбов 3,"392009, Тамбовская область, город Тамбов, улица Гастелло, 1"
87,Тамбов 3,"392000, Тамбовская область, город Тамбов, улица Ипподромная, 8а"
88,Тамбов 3,"392028, Тамбовская область, город Тамбов, улица Бастионная, 8т"
