excel_row,route_name,normalized_address
72,Тульская область,"399704, Липецкая область, Становлянский район, село Ламское, улица Победы, 12"
73,Тульская область,"301845, Тульская область, город Ефремов, улица Майорова, 2"
74,Тульская область,"Тульская область, город Ефремов, улица Горького, 53"
75,Тульская область,"301840, Тульская область, Ефремовский район, город Ефремов, улица Новик, 1Б"
76,Тульская область,"301900, Тульская область, Тепло-Огаревский район, рабочий поселок Теплое, улица Фролова, 151б"
77,Тульская область,"Тульская область, Щекинский район, 210 км трасса М-2 магазин Шатун"
79,Тульская область,"301246, Тульская область, Щекинский район, город Щекино, улица Лукашина, 10"
80,Тульская область,"301248, Тульская область, Щекинский район, город Щекино, улица Советская, 28"
81,Тульская область,"300901, Тульская область, город Тула, поселок Горелки, Московское шоссе, 2А"
82,Тульская область,"300004, Тульская область, город Тула, улица Кирова, 151"
83,Тульская область,"300045, Тульская область, город Тула, Новомосковское шоссе, 19"
84,Тульская область,"300045, Тульская область, город Тула, Новомосковское шоссе, 54"
85,Тульская область,"300045, Тульская область, город Тула, Новомосковское шоссе, 54"
86,Тульская область,"300045, Тульская область, город Тула, Новомосковская шоссе, 54Б"
88,Тульская область,"300045, Тульская область, город Тула, Новомосковское шоссе, 56а"
90,Тульская область,217 км трассы М4 автостоянка «Тройка»  направление на Ростов
