excel_row,route_name,normalized_address
60,"Уварово, Тамбовская обл.","393310, Тамбовская область, Инжавинский район, рабочий поселок Инжавино, Ленинская улица, 59"
61,"Уварово, Тамбовская обл.","393313, Тамбовская область, Инжавинский район, рабочий поселок Инжавино, Пролетарская улица, 53"
62,"Уварово, Тамбовская обл.","393310, Тамбовская область, Инжавинский район, рабочий поселок Инжавино, улица Карла Маркса, 236"
63,"Уварово, Тамбовская обл.","393464, Тамбовская область, город Уварово, Заводская улица, 91"
64,"Уварово, Тамбовская обл.","392000, Тамбовская область, город Уварово, Большая Садовая улица, 2Г"
65,"Уварово, Тамбовская обл.","393580, Тамбовская область, Мучкапский район, село Коростелево, Центральная улица"
66,"Уварово, Тамбовская обл.","397112, Воронежская область, Терновский район, село Терновка, улица 60 лет Октября, 63"
67,"Уварово, Тамбовская обл.","397100, Воронежская область, Терновский район, поселок Есипово, улица Мира, 1"
69,"Уварово, Тамбовская обл.","397242, Воронежская область, Грибановский район, поселок городского типа Грибановский, Лесная улица, 7а"
70,"Уварово, Тамбовская обл.","Воронежская область, Грибановский район, поселок городского типа Грибановский, Лесная улица, 4А"
