excel_row,route_name,normalized_address
3,курск сз,"305040, Курская область, город Курск, улица 50 лет Октября, 169Б"
4,курск сз,"Курская область, город Курск, улица 50 лет Октября, 169а"
5,курск сз,"305040, Курская область, город Курск, улица 50 лет Октября, 169А"
6,курск сз,"305040, Курская область, город Курск, улица 50 лет Октября, 169-А"
7,курск сз,"305040, Курская область, город Курск, улица 50 лет Октября, 124е"
8,курск сз,"305009, Курская область, город Курск, улица Бутко, 23/81"
10,курск сз,"305023, Курская область, город Курск, улица Луговая Нижняя, 1"
11,курск сз,"305023, Курская область, город Курск, улица Литовская, 2-Е"
12,курск сз,"305023, Курская область, город Курск, улица Литовская, 2Е"
13,курск сз,"307072, Курская область, Тимский район, село Введенка, улица Хуторская, 12"
