excel_row,route_name,normalized_address
23,курск юз,"305007, Курская область, город Курск, улица Энгельса, 109а"
24,курск юз,"Курская область, город Курск, улица Энгельса, 109А, пав. 2"
25,курск юз,"Курская область, город Курск, улица Энгельса, 109А, пав. 12"
27,курск юз,"Курская область, город Курск, улица Энергетиков, 2, павильон 120"
28,курск юз,"Курская область, город Курск, улица Энергетиков, 2, пав. 125"
29,курск юз,"Курская область, город Курск, улица Энергетиков, 2, Пав. 123"
30,курск юз,"305025, Курская область, город Курск, улица Магистральная, 1"
32,курск юз,"305025, Курская область, город Курск, Магистральный проезд, 3"
33,курск юз,"305025, Курская область, город Курск, Магистральный проезд, 10а"
34,курск юз,"305044, Курская область, город Курск, улица Станционная, 35"
36,курск юз,"305009, Курская область, город Курск, улица Дубровинского, 129А"
39,курск юз,"305019, Курская область, город Курск, улица Малых, 5А"
40,курск юз,"305520, Курская область, Курский район, деревня Моква 2-я"
41,курск юз,"305023, Курская область, город Курск, улица Литовская, 2-Е"
42,курск юз,"305044, Курская область, город Курск, улица Станционная, 35"
43,курск юз,"305044, Курская область, город Курск, улица Станционная, 41, пав. 17"
45,курск юз,"305044, Курская область, город Курск, улица Станционная, 41"
47,курск юз,"305044, Курская область, город Курск, улица Станционная, 31"
48,курск юз,"305023, Курская область, город Курск, улица Литовская, 10"
49,курск юз,"305023, Курская область, город Курск, улица Луговая Нижняя, 1"
50,курск юз,"305023, Курская область, город Курск, улица Малиновая, 101, 22"
